,"Amount in Capital work in Progress as at September 30, 2024",,,,
,"Less than 1
year",1-2 years,2-3 years,"More than 3
years",Total
Projects in progress:,,,,,
"Building (including water supply, roads and
culverts)",471.30,4 64.80,3 97.20,"2 ,810.20","4,143.50"
Plant and Equipment,928.70,"1 ,164.70",9 61.90,6 77.30,"3,732.60"
Railway Sidings,364.00,4 97.30,8 27.30,3 87.00,"2,075.60"
Other Mining infrastructure/Development,666.40,8 65.40,"1 ,076.00","2 ,047.30","4,655.10"
Rail Corridor under Construction,-,-,-,-,-
Solar Project,"1,642.20",-,-,-,"1,642.20"
Others,-,-,-,-,-
Projects temporarily suspended:,,,,,
Kapuria Block,,,,65.00,65.00
Total,"4,072.60","2 ,992.20","3 ,262.40","5 ,986.80","16,314.00"
