Particulars,Unbilled Dues,Outstanding for following periods from transaction date,,,,,Total
,,"Less than 6
months",6 months 1 year,1-2 years,2-3 years,"More than
3 years",
(i) Undisputed Trade receivables – considered good,3735.10,"6,376.90",6 7.20,"1 ,968.40",6 7.80,"1 ,078.10","13,293.50"
(ii) Undisputed Trade Receivables – which have significant increase in credit risk,,-,-,-,-,-,-
(iii) Undisputed Trade Receivables – credit impaired,,-,-,-,-,-,-
(iv) Disputed Trade Receivables– considered good,,-,-,-,-,3 9.00,39.00
(v) Disputed Trade Receivables– which have significant increase in credit risk,,-,-,-,-,-,-
(vi) Disputed Trade Receivables – credit impaired,,-,-,-,-,-,-
Total,"3,735.10","6,376.90",6 7.20,"1 ,968.40",6 7.80,"1 ,117.10","13,332.50"
Allowance for expected credit loss,-,,,,,,-
Expected credit losses (Loss allowance provision) - %,,,,,,,
