Loans,0.00,0.00,0.00,0.00,0.00,0.00
Deposits & receivable,0.00,"12,530.90",0.00,"9,603.20",0.00,"7,648.50"
Trade receivables*,0.00,"18,477.60",0.00,"13,332.50",0.00,"12,511.50"
Cash & cash equivalents,0.00,"1,675.40",0.00,"2,858.20",0.00,"1,249.40"
Other Bank Balances,0.00,"9,623.10",0.00,"6,588.10",0.00,"6,092.60"
Financial Liabilities,,,,,,
Borrowings & Lease Liabilities,0.00,"2,331.70",0.00,"2,302.30",0.00,"2,126.40"
Trade payables,0.00,"21,732.70",0.00,"12,335.30",0.00,"9,129.10"
Security Deposit and Earnest money,0.00,"6,090.90",0.00,"5,459.60",0.00,"4,921.00"
Other Liabilities,0.00,"20,881.20",0.00,"17,242.10",0.00,"12,528.20"
