Name of the Entity,"For the six months period
ended 30th September, 2025",,"For the six months period
ended 30th September, 2024",,"For the year ended
31st March, 2025",,"For the year ended
31st March, 2024",,"For the year ended
31st March, 2023",
,Other comprehensive income,,Other comprehensive income,,Other comprehensive income,,Other comprehensive income,,Other comprehensive income,
,"As % of consolidated
other comprehensive
income",Amount,"As % of consolidated
other comprehensive
income",Amount,"As % of consolidated
other comprehensive
income",Amount,"As % of consolidated
other comprehensive
income",Amount,"As % of consolidated
other comprehensive
income",Amount
"(I)CleanMaxEnviroEnergySolutionsLimited(formerlyknownasCleanMax
Enviro Energy Solutions Private Limited) (Parent Company)",( 1.19),(5.90),0.23,0.20,( 2.59),(0.64),(20.20),0.40,15.65,(0.67)
(II) Indian subsidiaries:,,,,,,,,,,
Clean Max Celestial Private Limited,79.96,397.39,-,-,-,-,-,-,-,-
(II) Foreign Subsidiaries:,,,,,,,,,,
Cleanmax Solar Mena FZCO (Consolidated)*,9.65,47.96,117.23,100.04,244.64,60.45,"2,224.75",(44.05),414.02,(17.72)
(III) Indian joint venture:,,,,,,,,,,
Cleanmax Harsha Solar LLP,-,-,-,-,-,-,-,-,-,-
(IV) Foreign joint venture:,,,,,,,,,,
"Kanoo Cleanmax Renewables Asset Co W.L.L (w.e.f. 11th September, 2022)**",-,-,-,-,-,-,-,-,-,-
"Kanoo Cleanmax Renewables W.L.L (w.e.f. 4th November, 2024)",-,-,-,-,-,-,-,-,-,-
(V) Adjustments arising out of consolidation,11.58,57.51,( 17.46),(14.90),( 142.05),( 35.10),"( 2,104.55)",4 1.67,( 329.67),1 4.11
Total of other comprehensive income,100.00,496.96,100.00,85.34,100.00,24.71,1 00.00,(1.98),100.00,(4.28)
