Name of the Entity,"As at 30th September, 2025",,"As at 30th September, 2024",,"As at 31st March, 2025",,"As at 31st March, 2024",,"As at 31st March, 2023",
,"Net assets, i.e., total assets minus total liabilities",,"Net assets, i.e., total assets minus total liabilities",,"Net assets, i.e., total assets minus total liabilities",,"Net assets, i.e., total assets minus total liabilities",,"Net assets, i.e., total assets minus total
liabilities",
,"As % of consolidated
net assets",Amount,"As % of consolidated net
assets",Amount,"As % of consolidated net
assets",Amount,"As % of consolidated net
assets",Amount,"As % of consolidated
net assets",Amount
"(I)CleanMaxEnviroEnergySolutionsLimited(formerlyknownasCleanMax
Clean Max IPP 1 Private Limited,4.77,"1,620.48",6.11,"1,634.93",5 .23,"1,674.78",7 .34,"1 ,640.55",1 0.81,"1,588.17"
Clean Max IPP 2 Private Limited,1.97,671.28,2.54,680.33,2 .30,736.54,3 .31,7 40.05,4 .95,726.98
Clean Max Mercury Power Private Limited,2.43,825.57,2.64,706.92,2 .42,776.86,3 .05,6 80.75,4 .60,675.15
Clean Max Photovoltaic Private Limited,2.03,688.62,2.26,604.09,2 .06,660.46,2 .68,5 97.71,3 .90,572.98
CMES Jupiter Private Limited,0.46,155.92,0.12,32.27,0 .81,259.99,0 .04,9 .51,( 0.12),(16.96)
CMES Power 1 Private Limited,0.12,39.50,0.16,42.90,0 .10,32.11,0 .20,4 4.18,0 .31,44.97
CMES Power 2 Private Limited,( 0.58),( 196.49),( 0.63),(169.42),( 0.55),( 174.98),( 0.82),( 182.97),( 0.98),(143.54)
KPJ Renewable Power Projects LLP,( 0.06),( 19.08),( 0.06),(16.93),( 0.05),( 16.04),( 0.08),( 17.93),( 0.07),(10.68)
CMES Infinity Private Limited,0.44,148.20,0.52,140.23,0 .45,143.17,0 .60,1 34.74,0 .88,129.92
CMES Saturn Private Limited,( 0.04),( 14.84),( 0.06),(16.01),( 0.04),( 14.00),( 0.07),( 15.94),( 0.09),(13.12)
Chitradurga Renewable Energy India Private Limited,( 0.12),( 40.15),( 0.10),(26.35),( 0.12),( 37.72),( 0.21),( 46.21),( 0.10),(15.11)
Name of the Entity,"As at 30th September, 2025",,"As at 30th September, 2024",,"As at 31st March, 2025",,"As at 31st March, 2024",,"As at 31st March, 2023",
,"Net assets, i.e., total assets minus total liabilities",,"Net assets, i.e., total assets minus total liabilities",,"Net assets, i.e., total assets minus total liabilities",,"Net assets, i.e., total assets minus total liabilities",,"Net assets, i.e., total assets minus total
liabilities",
,"As % of consolidated
net assets",Amount,"As % of consolidated net
assets",Amount,"As % of consolidated net
assets",Amount,"As % of consolidated net
assets",Amount,"As % of consolidated
net assets",Amount
Clean Max Solaris Private Limited,( 0.01),(2.44),( 0.01),(3.21),( 0.01),(2.21),( 0.02),( 3.36),-,-
Clean Max Uranus Private Limited,1.04,353.80,1.38,369.59,1 .09,348.34,1 .62,3 62.05,-,-
Clean Max Uno Private Limited,0.14,46.30,0.18,47.65,0 .15,46.93,-,( 0.07),-,-
Clean Max Deneb Power LLP,0.96,327.38,1.20,321.01,1 .00,319.37,1 .43,3 20.31,0 .97,142.40
Clean Max Orion Power LLP,0.23,78.52,0.29,77.87,0 .23,72.45,0 .32,7 2.00,0 .48,70.39
Clean Max Pluto Solar Power LLP,1.53,519.63,2.12,568.53,1 .52,488.53,2 .44,5 45.96,2 .92,428.48
Clean Max Regulus Power LLP,-,(0.62),-,(0.55),-,(0.60),-,( 0.55),-,(0.50)
Clean Max Scorpius Power LLP,2.12,719.27,2.44,652.46,2 .02,645.80,2 .87,6 40.23,3 .57,523.89
Clean Max Suryamukhi LLP,-,(0.21),-,(0.09),-,(0.18),-,( 0.05),-,0.09
Clean Max Vega Power LLP,3.62,"1,232.05",2.92,782.19,2 .36,756.88,3 .41,7 61.89,2 .59,379.76
Clean Max Venus Power LLP,-,(0.39),-,(0.34),-,(0.38),-,( 0.33),-,(0.28)
Clean Max Auriga Power LLP,0.60,205.38,0.77,205.03,0 .63,201.61,0 .90,2 01.64,1 .38,202.51
Clean Max Fusion Power LLP,0.07,25.11,0.08,21.77,0 .09,28.88,-,0 .27,-,0.35
Clean Max IPP 3 Power LLP,-,(0.30),-,(0.25),-,(0.05),-,( 0.24),-,(0.19)
Clean Max Power 3 LLP,3.24,"1,100.79",4.16,"1,112.13",3 .19,"1,022.63",5 .21,"1 ,163.46",7 .06,"1,036.82"
Clean Max Apollo Power LLP,-,0.24,-,0.58,-,0.51,-,0 .61,0 .01,0.74
Clean Max Light Power LLP,0.37,126.64,0.52,138.34,0 .40,127.46,0 .64,1 41.97,-,(0.23)
Clean Max Charge LLP,0.72,244.91,0.40,107.61,0 .78,248.58,0 .56,1 24.97,-,(0.18)
Clean Max Vital Energy LLP,0.51,173.28,0.61,162.58,0 .52,165.65,0 .72,1 59.83,1 .07,156.44
Clean Max Proclus Energy LLP,-,(0.29),-,(0.23),-,(0.28),-,( 0.21),-,(0.16)
Clean Max Hyperion Power LLP,0.65,220.91,0.77,205.32,0 .66,210.38,0 .88,1 97.06,1 .28,188.14
Clean Max Circe Power LLP,-,(0.30),-,(0.24),-,(0.29),-,( 0.22),-,(0.18)
Clean Max Hybrid Power LLP,0.15,50.80,0.19,51.54,0 .16,50.36,-,( 0.49),-,(0.19)
Clean Max Scorpius Private Limited,3.08,"1,047.04",4.05,"1,083.51",3 .13,"1,002.34",4 .77,"1 ,065.42",4 .69,688.47
Clean Max Aditya Power Private Limited,1.81,613.91,2.50,669.45,2 .07,662.73,2 .88,6 43.19,2 .90,425.77
Clean Max Vent Power Private Limited,0.36,122.75,0.56,149.93,0 .37,117.05,0 .62,1 38.91,1 .34,196.86
Clean Max Khanak Private Limited,0.30,100.34,0.36,96.36,0 .29,92.47,0 .40,8 9.49,0 .60,88.73
Clean Max Bhoomi Private Limited,2.06,699.28,3.16,845.43,2 .35,753.05,3 .81,8 52.26,6 .14,902.49
Clean Max Surya Energy Private Limited,( 0.10),( 34.42),( 0.04),(11.81),( 0.04),( 12.50),( 0.01),( 2.67),-,(0.27)
Clean Max Sphere Energy Private Limited,-,(0.28),-,(0.22),-,(0.23),-,( 0.16),-,(0.09)
Clean Max Vayu Private Limited,( 0.02),(6.77),( 0.06),(15.52),( 0.07),( 22.89),( 0.04),( 9.10),0 .02,3.04
Clean Max Zeus Private Limited,2.13,725.62,2.71,723.98,2 .13,684.03,3 .10,6 92.14,4 .67,685.64
Clean Max Maximus Private Limited,2.01,684.22,2.95,789.49,2 .17,694.68,3 .72,8 31.81,6 .14,902.49
Clean Max Kratos Private Limited,4.01,"1,363.95",5.22,"1,396.13",4 .23,"1,355.97",6 .28,"1 ,403.44",1 0.32,"1,516.37"
Yashaswa Power LLP,0.09,32.11,0.08,21.61,0 .11,34.93,0 .03,7 .65,-,(0.16)
HET Energy Technology LLP,0.07,23.13,0.05,14.25,0 .09,27.70,0 .04,9 .10,-,(0.15)
Clean Max Ame Private Limited,0.67,228.26,-,(0.17),0 .46,146.17,-,( 0.12),-,(0.04)
Clean Max Arnav Private Limited,0.56,189.41,0.77,206.51,0 .60,191.52,0 .92,2 04.71,1 .55,227.82
Clean Max Astria Private Limited,1.16,394.02,0.52,137.99,1 .24,395.89,0 .60,1 34.45,1 .04,152.07
Clean Max Balam Private Limited,0.21,71.80,0.29,76.37,0 .22,71.70,0 .34,7 6.48,-,(0.05)
Clean Max Decimus Private Limited,0.11,36.22,0.13,35.07,0 .11,35.17,-,( 0.15),-,(0.04)
Clean Max Gamma Private Limited,( 0.19),( 63.48),( 0.07),(17.41),( 0.07),( 22.37),( 0.05),( 10.60),-,-
Clean Max Dhruve Private Limited,-,(1.04),-,(0.49),-,(0.38),-,( 0.36),-,(0.13)
Clean Max Dhyuthi Private Limited,0.74,253.05,0.92,247.44,0 .74,238.02,1 .11,2 48.25,1 .99,291.76
Clean Max Hybrid 2 Power Private Limited,0.75,255.22,0.93,248.98,0 .75,239.84,1 .12,2 49.96,1 .98,291.53
Clean Max IPP 4 Power Private Limited,-,(0.64),-,(0.17),-,(0.22),-,( 0.10),-,-
Clean Max Kaze Private Limited,0.85,288.45,0.61,164.54,0 .91,291.80,0 .74,1 64.63,1 .12,164.73
Clean Max Matahari Private Limited,0.95,322.30,1.03,274.93,1 .01,324.85,0 .73,1 62.21,1 .18,173.31
Clean Max Meridius Private Limited,0.39,134.23,0.50,134.00,0 .41,130.07,0 .60,1 33.22,1 .04,152.03
Clean Max Plutus Private Limited,0.27,91.01,0.33,87.90,0 .26,83.49,0 .37,8 3.55,-,(0.05)
Clean Max Power 4 Private Limited,4.49,"1,525.07",0.49,130.91,4 .75,"1,520.74",0 .58,1 30.27,1 .02,149.51
Clean Max Rudra Private Limited,1.21,412.77,1.02,273.06,1 .29,413.91,1 .22,2 72.69,0 .99,145.74
Clean Max Saura Private Limited,0.32,109.01,0.39,104.87,0 .31,98.78,0 .47,1 04.40,-,(0.05)
Clean Max Taiyo Private Limited,0.38,129.63,0.54,144.26,0 .40,129.32,0 .66,1 47.84,-,0.01
Clean Max Tav Private Limited,0.33,113.08,0.43,114.78,0 .34,107.85,0 .51,1 13.93,0 .86,126.17
Clean Max Thanos Private Limited,0.30,101.83,0.44,118.46,0 .35,111.04,0 .55,1 23.89,0 .99,145.65
Clean Max Thennal Private Limited,0.29,98.96,0.40,107.14,0 .32,103.32,0 .49,1 08.64,-,(0.06)
Gadag Power India Private Limited,0.02,6.00,( 0.01),(1.75),0 .01,1.65,( 0.01),( 1.41),-,0.03
Clean Max Theia Private Limited,4.32,"1,467.80",5.77,"1,544.65",4 .59,"1,470.83",6 .70,"1 ,496.20",1 0.72,"1,575.20"
Hem Urja LLP,( 0.02),(8.35),( 0.04),(11.85),( 0.02),(6.30),( 0.07),( 15.49),-,0.03
Clean Max Ajanta Private Limited,-,(0.12),-,-,-,0.03,-,-,-,-
Name of the Entity,"As at 30th September, 2025",,"As at 30th September, 2024",,"As at 31st March, 2025",,"As at 31st March, 2024",,"As at 31st March, 2023",
,"Net assets, i.e., total assets minus total liabilities",,"Net assets, i.e., total assets minus total liabilities",,"Net assets, i.e., total assets minus total liabilities",,"Net assets, i.e., total assets minus total liabilities",,"Net assets, i.e., total assets minus total
liabilities",
,"As % of consolidated
net assets",Amount,"As % of consolidated net
assets",Amount,"As % of consolidated net
assets",Amount,"As % of consolidated net
assets",Amount,"As % of consolidated
net assets",Amount
Clean Max Alps Private Limited,-,(0.05),-,-,-,0.04,-,-,-,-
Clean Max Andes Private Limited,( 0.01),(1.88),-,-,-,(0.14),-,-,-,-
Clean Max Centaurus Private Limited,0.38,130.50,-,-,-,0.04,-,-,-,-
Clean Max Denali Private Limited,-,(0.64),-,-,-,(0.58),-,-,-,-
Clean Max Draco Private Limited,-,(0.65),-,-,-,0.03,-,-,-,-
Clean Max Everest Private Limited,-,(0.65),-,-,-,(0.59),-,-,-,-
Clean Max Everglades Private Limited,0.69,234.07,-,-,0 .73,234.33,-,-,-,-
Clean Max Ganga Private Limited,1.07,364.67,-,-,-,0.04,-,-,-,-
Clean Max Godavari Private Limited,1.36,462.97,-,-,-,(0.32),-,-,-,-
Clean Max Hydra Private Limited,-,(0.44),-,-,-,0.03,-,-,-,-
Clean Max Indus Private Limited,1.00,340.69,-,-,-,(0.03),-,-,-,-
Clean Max Kanha Private Limited,0.09,32.20,-,-,-,0.04,-,-,-,-
Clean Max Kaveri Private Limited,-,(0.01),-,-,-,(0.01),-,-,-,-
Clean Max Kaziranga Private Limited,-,(0.01),-,-,-,0.03,-,-,-,-
Clean Max Leo Private Limited,0.41,139.26,-,-,0 .44,139.45,-,-,-,-
Clean Max Nirvaan Private Limited,-,(0.55),-,0.04,-,(0.31),-,-,-,-
Clean Max Narmada Private Limited,0.43,147.47,-,-,-,-,-,-,-,-
Clean Max Nile Private Limited,0.09,29.91,-,-,-,0.04,-,-,-,-
Clean Max Olympus Private Limited,-,(0.78),-,-,-,(0.72),-,-,-,-
Clean Max Periyar Private Limited,-,(0.01),-,-,-,0.03,-,-,-,-
Clean Max Sundarban Private Limited,0.21,70.33,-,-,-,0.04,-,-,-,-
Clean Max Tadoba Private Limited,-,(0.64),-,-,-,0.03,-,-,-,-
Clean Max Taurus Private Limited,-,(0.30),-,-,-,0.03,-,-,-,-
Clean Max Yamuna Private Limited,( 0.01),(2.00),-,-,-,0.07,-,-,-,-
Clean Max YellowStone Private Limited,( 0.01),(1.74),-,-,-,(0.32),-,-,-,-
Clean Max Bryce Private Limited,0.64,216.82,-,0.04,-,(0.34),-,-,-,-
Clean Max Galapagos Private Limited,-,(0.71),-,0.02,-,(0.29),-,-,-,-
Clean Max Teton Private Limited,0.93,315.68,-,0.04,-,(0.04),-,-,-,-
Clean Max Urjit LLP,0.15,50.07,-,(0.11),0 .15,48.89,-,-,-,-
Clean Max Ekaiva Private Limited,0.09,29.63,-,-,0 .09,30.07,-,-,-,-
Jagalur Green Energy Power Supply Private Limited,-,(0.45),-,(0.15),-,(0.39),-,-,-,-
Clean Max Jasper Private Limited,0.62,210.67,-,(0.03),0 .66,211.85,-,-,-,-
Clean Max Anchorage Private Limited,0.40,136.30,-,(0.03),0 .40,129.18,-,-,-,-
Clean Max Kenai Private Limited,-,(0.12),-,(0.03),-,(0.07),-,-,-,-
Clean Max Yosemite Private Limited,0.43,147.00,-,(0.01),-,(0.15),-,-,-,-
Clean Max Prapati Private limited,0.07,24.79,-,(0.03),0 .08,25.14,-,-,-,-
Clean Max Serengeti Private Limited,0.50,170.52,0.65,175.04,0 .54,174.50,-,-,-,-
Clean Max Zion Private limited,0.81,276.08,-,(0.03),0 .86,275.37,-,-,-,-
Clean Max Patagonia Private limited,1.49,505.27,-,(0.03),1 .60,513.32,-,-,-,-
Surya Energy Photo Voltaic India Private Limited,1.27,430.62,0.97,258.94,1 .34,430.80,-,-,-,-
VEH Green Energy Private Limited,0.12,39.14,-,-,0 .13,40.58,-,-,-,-
Clean Max Nevada Private Limited,-,(0.20),-,-,-,-,-,-,-,-
Clean Max Tasman Private Limited,-,0.77,-,-,-,-,-,-,-,-
Clean Max Banff Private Limited,-,(0.91),-,-,-,-,-,-,-,-
Clean Max Kruger Private Limited,-,(0.12),-,-,-,-,-,-,-,-
Clean Max Pacific Private Limited,-,-,-,-,-,-,-,-,-,-
Clean Max Polar Private Limited,-,0.04,-,-,-,-,-,-,-,-
Clean Max Sierra Private Limited,-,-,-,-,-,-,-,-,-,-
Clean Max Solomon Private Limited,-,0.05,-,-,-,-,-,-,-,-
Clean Max Atlantic Private Limited,-,-,-,-,-,-,-,-,-,-
Clean Max Tahoe Private Limited,-,(0.56),-,-,-,-,-,-,-,-
Clean Max Albatross Private Limited,-,0.03,-,-,-,-,-,-,-,-
Clean Max Solstice Private Limited,-,(0.62),-,-,-,-,-,-,-,-
Clean Max Karakoram Private Limited,-,0.04,-,-,-,-,-,-,-,-
Clean Max Adriatic Private Limited,-,0.05,-,-,-,-,-,-,-,-
Clean Max Arctic Private Limited,-,-,-,-,-,-,-,-,-,-
Clean Max Amalfi Private Limited,-,-,-,-,-,-,-,-,-,-
Clean Max Petra Private Limited,-,(0.47),-,-,-,-,-,-,-,-
Clean Max Kilimanjaro Private Limited,-,-,-,-,-,-,-,-,-,-
Clean Max Fuji Private Limited,-,-,-,-,-,-,-,-,-,-
Clean Max Iguazu Private Limited,-,-,-,-,-,-,-,-,-,-
Clean Max Azores Private Limited,-,(0.57),-,-,-,-,-,-,-,-
Clean Max Lapland Private Limited,-,0.06,-,-,-,-,-,-,-,-
Clean Max Louise Private Limited,-,0.05,-,-,-,-,-,-,-,-
Name of the Entity,"As at 30th September, 2025",,"As at 30th September, 2024",,"As at 31st March, 2025",,"As at 31st March, 2024",,"As at 31st March, 2023",
,"Net assets, i.e., total assets minus total liabilities",,"Net assets, i.e., total assets minus total liabilities",,"Net assets, i.e., total assets minus total liabilities",,"Net assets, i.e., total assets minus total liabilities",,"Net assets, i.e., total assets minus total
liabilities",
,"As % of consolidated
net assets",Amount,"As % of consolidated net
assets",Amount,"As % of consolidated net
assets",Amount,"As % of consolidated net
assets",Amount,"As % of consolidated
net assets",Amount
Clean Max Como Private Limited,-,0.05,-,-,-,-,-,-,-,-
Clean Max Laguna Private Limited,-,0.05,-,-,-,-,-,-,-,-
Clean Max Peyto Private Limited,-,(0.57),-,-,-,-,-,-,-,-
Clean Max Moraine Private Limited,-,0.05,-,-,-,-,-,-,-,-
Clean Max Emerald Private Limited,-,0.04,-,-,-,-,-,-,-,-
Clean Max Victoria Private Limited,-,0.04,-,-,-,-,-,-,-,-
Clean Max Ahar Private Limited,-,0.03,-,-,-,-,-,-,-,-
Clean Max Aranyam Private Limited,-,0.03,-,-,-,-,-,-,-,-
Clean Max Hana Private Limited,-,0.05,-,-,-,-,-,-,-,-
(II) (b) Foreign subsidiaries:,,,,,,,,,,
Cleanmax Solar Mena FZCO (Consolidated)*,9.36,"3,182.05",6.02,"1,609.75",8 .87,"2,841.53",5 .27,"1 ,178.34",5 .90,866.69
(c) Non-controlling interests,2 1.55,"7,325.22",1 3.22,"3,537.61",2 0.01,"6,412.93",1 7.93,"4 ,005.11",1 7.57,"2,580.13"
(III) Indian joint venture:,,,,,,,,,,
Cleanmax Harsha Solar LLP,0.18,62.14,0.23,61.78,0 .19,60.82,0 .28,6 3.10,0 .43,62.99
(IV) Foreign associate:,,,,,,,,,,
"Clean Max Alpha LeaseCo FZCO (upto 30th September, 2024)",-,-,2.35,629.44,-,-,2 .03,4 53.58,2 .64,387.15
(V) Foreign joint venture:,,,,,,,,,,
"Kanoo Cleanmax Renewables Asset Co W.L.L (w.e.f. 11th September,
2022)**",0.33,110.99,0.13,35.52,0 .31,99.70,0 .15,3 2.92,-,-
"Kanoo Cleanmax Renewables W.L.L (w.e.f. 4th November, 2024)",0.21,72.94,-,-,0 .15,46.84,-,-,-,-
(VI) Adjustments arising out of consolidation,(156.02),"(53,024.19)",(123.91),"(33,159.21)",(141.72),"(45,398.16)",( 139.51),"(31,170.09)",( 148.66),"(21,830.65)"
Total of net assets,100.00,"33,991.87",100.00,"26,761.12",100.00,"32,047.73",1 00.00,"22,339.79",1 00.00,"14,687.56"
