"Sr.
No.",Name of the Entity,Relationship,"Name of the
Independent Auditor",Period Examined
151,"Clean Max Harsha Solar
LLP","Joint
Venture",D.S.K. & Associates,"March 31, 2025, March 31, 2024,
September 30, 2024 & March 31,
2023"
152,"Clean Max Actis Energy
LLP",Subsidiary,D.S.K. & Associates,"March 31, 2023"
153,"Clean Max Helios Power
LLP",Subsidiary,D.S.K. & Associates,"March 31, 2023"
154,CMES Universe LLP,Subsidiary,D.S.K. & Associates,"March 31, 2023"
155,CMES Urja LLP,Subsidiary,D.S.K. & Associates,"March 31, 2023"
156,"Clean Max Agni 2 Power
LLP",Subsidiary,D.S.K. & Associates,"March 31, 2023"
157,"Clean Max Augus Power
LLP",Subsidiary,D.S.K. & Associates,"March 31, 2023"
158,"Clean Max Solstice Power
LLP",Subsidiary,D.S.K. & Associates,"March 31, 2023"
159,CMES Animo LLP,Subsidiary,D.S.K. & Associates,"March 31, 2023"
160,CMES Rhea LLP,Subsidiary,D.S.K. & Associates,"March 31, 2023"
