"Sr.
No.",From,To,Terms of arrangement,"Fixed/
Floating",Rate of interest,Tenure,Amount
91,"Clean Max Enviro Energy
Solutions Limited","Clean Max Saura Private
Limited","Repaymentin one or more tranches,without anyprepayment premium,atanytime within the tenure. The
CompanyshallpaytoLender intereston a quarterlybasis.TheBorrower shallpayaccruedinterestonthe
FacilitytotheLenderonanannualbasisonthelastbusinessdayoftherelevantyearorasmutuallyagreed
betweentheParties(the“InterestPaymentDate”).Innoeventshallthecompoundingofinterestorrepayment
amount be permitted under this Agreement.",Fixed,10%,20 years,50.00
92,"Clean Max Enviro Energy
Solutions Limited",CleanMax Solar MENA FZCO,"ThePrincipalAmountplusallaccruedbutunpaidinterestthereonshallbedueandpayableontheexpiryof3
(Five)YearsfromthemoneycreditedtoBorrowersAccount(""MaturityDate""),orsuchlaterdateasmutually
agreed to in writing between the Parties. The Borrower may at any time and from time to time prepay all or any
part of the unpaid Principal Amount without premium or penalty.
Amendment-TheentirebalanceofthePrincipalAmountplusallaccruedbutunpaidinterestthereonshallbe
due and payable on the expiry of 6 Years (07th September 2028)",Fixed,6%,3 Years,AED 14.30
93,"Clean Max Enviro Energy
Solutions Limited",CleanMax Solar MENA FZCO,"ThePrincipalAmountplusallaccruedbutunpaidinterestthereonshallbedueandpayableontheexpiryof3
(Five)YearsfromthemoneycreditedtoBorrowersAccount(""MaturityDate""),orsuchlaterdateasmutually
agreed to in writing between the Parties. The Borrower may at any time and from time to time prepay all or any
part of the unpaid Principal Amount without premium or penalty.
Amendment-TheentirebalanceofthePrincipalAmountplusallaccruedbutunpaidinterestthereonshallbe
due and payable on the expiry of 8 Years (22nd November 2028)",Fixed,10%,5 Years,AED 0.39
94,"Clean Max Enviro Energy
Solutions Limited",CleanMax Solar MENA FZCO,"ThePrincipalAmountplusallaccruedbutunpaidinterestthereonshallbedueandpayableontheexpiryof3
(Five)YearsfromthemoneycreditedtoBorrowersAccount(""MaturityDate""),orsuchlaterdateasmutually
agreed to in writing between the Parties. The Borrower may at any time and from time to time prepay all or any
part of the unpaid Principal Amount without premium or penalty.
Amendment-TheentirebalanceofthePrincipalAmountplusallaccruedbutunpaidinterestthereonshallbe
due and payable on the expiry of 7 Years (24th November 2028)",Fixed,6%,3 Years,AED 3.70
95,"Clean Max Enviro Energy
Solutions Limited",CleanMax Solar MENA FZCO,"ThePrincipalAmountplusallaccruedbutunpaidinterestthereonshallbedueandpayableontheexpiryof3
(Five)YearsfromthemoneycreditedtoBorrowersAccount(""MaturityDate""),orsuchlaterdateasmutually
agreed to in writing between the Parties. The Borrower may at any time and from time to time prepay all or any
part of the unpaid Principal Amount without premium or penalty.
Amendment-TheentirebalanceofthePrincipalAmountplusallaccruedbutunpaidinterestthereonshallbe
due and payable on the expiry of 6 Years(02nd July 2029).",Fixed,6%,3 Years,AED 9.20
"Sr.
No.",From,To,Terms of arrangement,"Fixed/
Floating",Rate of interest,Tenure,Amount
96,"Clean Max Enviro Energy
Solutions Limited","Clean Max Tasman Private
Limited","Repaymentinoneormoretranches,withoutanyprepaymentpremium,atanytimewithinthetenure.Interest
ontheFacilitytotheLenderonanannualbasisontheLastBusinessDayoftherelevantyearorasmutually
agreedbetweentheParties(the""InterestPaymentDate"").Interestshallbenon-cumulativeinnatureandshall
bepaidbytheBorrowersubjecttoavailabilityofcashflowandapprovaloftheapplicableseniorlenderif
requiredbytheseniorlender.Innoeventshallthecompoundingofinterestorrepaymentamountbepermitted
under this Agreement.",Fixed,14%,20 years,"5,000.00"
97,"Clean Max Enviro Energy
Solutions Limited","Clean Max Matahari Private
Limited","Principal - Repayment in one or more tranches, without anyprepayment premium, at anytime within the
availability period of 25 years.
Interest-1yearofMoratoriumperiodandduringthesameperiodtheinterestwillnotbecharged,Further,
from Year 2 onwards the Interest is payable subject to any of the conditions below:
a. Free Cash flows available
b. Approval of Senior Lender in case senior lender requires the same under their agreement or sanction letter.",Fixed,"Year 1 - 0%
Year 2-6 -10%
Year 7-8 -11%
Year 9-25 -18%",25 years,40.30
98,"Clean Max Enviro Energy
Solutions Limited","Clean Max Anchorage Private
Limited","Principal - Repayment in one or more tranches, at any time within the availability period of 25 years.
Interest-1yearofMoratoriumperiodandduringthesameperiodtheinterestwillnotbecharged,Further,
from Year 2 onwards the Interest is payable subject to any of the conditions below:
a. Free Cash flows available
b. Approval of Senior Lender in case senior lender requires the same under their agreement or sanction letter.
Aninterestrateof10%p.awillbeappliedatsimpleinterestiftheloanispartiallyorfullyrepaidwithinthe
tenure",Fixed,"Year 1 - 0%
Year 2-6 -10%
Year 7-8 -11%
Year 9-25 -18%",25 years,60.00
99,"Clean Max Enviro Energy
Solutions Limited","Clean Max Delirio Private
Limited","Principal - Repayment in one or more tranches, at any time within the availability period of 25 years.
Interest-1yearofMoratoriumperiodandduringthesameperiodtheinterestwillnotbecharged,Further,
from Year 2 onwards the Interest is payable subject to any of the conditions below:
a. Free Cash flows available
b. Approval of Senior Lender in case senior lender requires the same under their agreement or sanction letter.
Aninterestrateof10%p.awillbeappliedatsimpleinterestiftheloanispartiallyorfullyrepaidwithinthe
tenure",Fixed,"Year 1 - 0%
Year 2-6 -10%
Year 7-8 -11%
Year 9-25 -18%",25 years,100.00
"Sr.
No.",From,To,Terms of arrangement,"Fixed/
Floating",Rate of interest,Tenure,Amount
118,"Clean Max Enviro Energy
Solutions Limited","Clean Max Taurus Private
Limited","Repaymentinoneormoretranches,withoutanyprepaymentpremium,atanytimewithinthetenure.Interest
ontheFacilitytotheLenderonanannualbasisontheLastBusinessDayoftherelevantyearorasmutually
agreedbetweentheParties(the""InterestPaymentDate"").Interestshallbenon-cumulativeinnatureandshall
bepaidbytheBorrowersubjecttoavailabilityofcashflowandapprovaloftheapplicableseniorlenderif
requiredbytheseniorlender.Innoeventshallthecompoundingofinterestorrepaymentamountbepermitted
under this Agreement.",Fixed,14%,20 years,433.10
119,"Clean Max Enviro Energy
Solutions Limited","Clean Max IPP 4 Power Private
Limited","Repaymentinoneormoretranches,withoutanyprepaymentpremium,atanytimewithinthetenure.Interest
ontheFacilitytotheLenderonanannualbasisontheLastBusinessDayoftherelevantyearorasmutually
agreedbetweentheParties(the""InterestPaymentDate"").Interestshallbenon-cumulativeinnatureandshall
bepaidbytheBorrowersubjecttoavailabilityofcashflowandapprovaloftheapplicableseniorlenderif
requiredbytheseniorlender.Innoeventshallthecompoundingofinterestorrepaymentamountbepermitted
under this Agreement.",Fixed,10%,20 years,85.00
120,"Clean Max Enviro Energy
Solutions Limited","Clean Max Sierra Private
Limited","Repaymentinoneormoretranches,withoutanyprepaymentpremium,atanytimewithinthetenure.Interest
ontheFacilitytotheLenderonanannualbasisontheLastBusinessDayoftherelevantyearorasmutually
agreedbetweentheParties(the""InterestPaymentDate"").Interestshallbenon-cumulativeinnatureandshall
bepaidbytheBorrowersubjecttoavailabilityofcashflowandapprovaloftheapplicableseniorlenderif
requiredbytheseniorlender.Innoeventshallthecompoundingofinterestorrepaymentamountbepermitted
under this Agreement.",Fixed,10%,20 years,100.00
121,"Clean Max Enviro Energy
Solutions Limited","Clean Max Ganga Private
Limited","Repaymentinoneormoretranches,withoutanyprepaymentpremium,atanytimewithinthetenure.Interest
ontheFacilitytotheLenderonanannualbasisontheLastBusinessDayoftherelevantyearorasmutually
agreedbetweentheParties(the""InterestPaymentDate"").Interestshallbenon-cumulativeinnatureandshall
bepaidbytheBorrowersubjecttoavailabilityofcashflowandapprovaloftheapplicableseniorlenderif
requiredbytheseniorlender.Innoeventshallthecompoundingofinterestorrepaymentamountbepermitted
under this Agreement.",Fixed,10%,20 years,600.00
122,"Clean Max Enviro Energy
Solutions Limited","Clean Max Kruger Private
Limited","Repaymentinoneormoretranches,withoutanyprepaymentpremium,atanytimewithinthetenure.Interest
ontheFacilitytotheLenderonanannualbasisontheLastBusinessDayoftherelevantyearorasmutually
agreedbetweentheParties(the""InterestPaymentDate"").Interestshallbenon-cumulativeinnatureandshall
bepaidbytheBorrowersubjecttoavailabilityofcashflowandapprovaloftheapplicableseniorlenderif
requiredbytheseniorlender.Innoeventshallthecompoundingofinterestorrepaymentamountbepermitted
under this Agreement.",Fixed,10%,20 years,220.00
123,"Clean Max Enviro Energy
Solutions Limited",Clean Max Vega Power LLP,"Principal - Repayment in one or more tranches, without anyprepayment premium, at anytime within the
availability period of 25 years.
Interest-1yearofMoratoriumperiodandduringthesameperiodtheinterestwillnotbecharged,Further,
from Year 2 onwards the Interest is payable subject to any of the conditions below:
a. Free Cash flows available
b. Approval of Senior Lender in case senior lender requires the same under their agreement or sanction letter.",Fixed,"Year 1 - 0%
Year 2-6 -10%
Year 7-8 -11%
Year 9-25 -18%",25 years,160.00
"Sr.
No.",From,To,Terms of arrangement,"Fixed/
Floating",Rate of interest,Tenure,Amount
