"Sr.
No.",Name of the Company (on behalf of),Name of the Company (given by),Nature,"For the six months period
38,Clean Max Opus Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,-,2 53.70,8 17.04,-
39,Clean Max Orion Power LLP,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,-,-,4 4.60,1 20.00
40,Clean Max Pluto Solar Power LLP,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,-,-,-,7 70.00
41,Clean Max Plutus Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,-,-,1 00.00,-
42,Clean Max Power 3 LLP,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,-,-,-,"2 ,521.00"
43,Clean Max Power 4 Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,570.00,9 0.30,2 05.44,2 37.50,1 70.00
44,Clean Max Rudra Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,540.00,9 9.70,9 9.70,4 19.76,1 70.00
45,Clean Max Sapphire Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,858.40,-,"1 ,440.00",-,-
46,Clean Max Saura Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,-,-,2 16.10,-
47,Clean Max Scorpius Power LLP,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,80.25,-,-,7 96.50,8 91.88
48,Clean Max Scorpius Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,2 8.30,-,-,-
49,Clean Max Sirius Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,1 40.70,1 40.70,-,-
50,Clean Max Taiyo Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,-,-,3 08.10,-
51,Clean Max Tav Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,-,-,2 56.76,-
52,Clean Max Terra Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,5 60.00,"1 ,180.00",-,-
53,Clean Max Thanos Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,1 71.57,1 71.57,2 66.76,-
54,Clean Max Theia Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,6 28.80,6 28.80,"1 ,316.80","2 ,080.00"
55,Clean Max Thennal Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,-,-,1 89.08,-
"Sr.
No.",Name of the Company (on behalf of),Name of the Company (given by),Nature,"For the six months period
ended 30th September, 2025","For the six months period
ended 30th September, 2024","For the year ended
31st March, 2025","For the year ended
31st March, 2024","For the year ended
31st March, 2023"
56,Clean Max Uno Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,-,7 2.30,-,-
57,Clean Max Uranus Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,2 26.80,2 26.80,6 30.00,-
58,Clean Max Vega Power LLP,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,640.88,6 10.30,7 45.30,-,6 27.98
59,Clean Max Vent Power Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,-,-,-,4 39.00
60,Clean Max Vital Energy LLP,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,-,-,-,3 77.79
61,Clean Max Zeus Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,-,-,3 61.10,"3 ,264.50"
62,Cleanmax Energy (Thailand) Co. Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,-,-,4 32.86,-
63,CMES Infinity Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,-,-,-,5 60.00
64,Clean Max Boreal Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,442.50,-,-,-,-
65,Clean Max Aurora Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,179.00,-,-,-,-
66,Clean Max Ame Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,278.00,-,-,-,-
67,Clean Max Bryce Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,174.16,-,-,-,-
68,Clean Max Serengeti Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,219.60,-,-,-,-
69,Clean Max Fragma Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,283.96,-,-,-,-
70,Clean Max Celestial Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,"4,485.98",-,-,-,-
71,Clean Max Patagonia Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,700.00,-,-,-,-
72,Clean Max Everglades Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,503.03,-,-,-,-
73,Clean Max Taurus Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,960.00,-,-,-,-
74,Clean Max Centaurus Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,408.50,-,-,-,-
75,Clean Max Banff Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,201.60,-,-,-,-
76,Clean Max Godavari Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,290.00,-,-,-,-
77,Clean Max Ganga Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,"1,012.50",-,-,-,-
78,Clean Max IPP4 Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,358.88,-,-,-,-
79,Clean Max Sierra Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,157.50,-,-,-,-
80,Clean Max Bloom Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,130.50,-,-,-,-
81,Clean Max Kruger Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,415.13,-,-,-,-
82,Clean Max Beta Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,468.10,-,-,-,-
83,CMES Power 1 Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,-,-,-,4 18.31
