Name of the Statute,Nature of Dues,"Amount (Rs. In
Millions)","Amount deposited
(Rs. in Millions)","Amount not paid
(Rs. in Millions)","Period to which
amount relates","Forum where dispute is
pending"
"The Tamil Nadu Goods
and Services Act, 2017","Goods and Services
Tax",27.52,2 .50,25.02,2017-18,"Joint Commissioner
(Appeals)"
"The Tamil Nadu Goods
and Services Act, 2017","Goods and Services
Tax",23.14,-,23.14,2021-22,"Joint Commissioner
(Appeals)"
"The Tamil Nadu Goods
and Services Act, 2017","Goods and Services
Tax",13.55,1 .23,12.32,2022-23,"Joint Commissioner
(Appeals)"
"The Tamil Nadu Goods
and Services Act, 2017","Goods and Services
Tax",11.46,1 .04,10.42,2022-23,"Joint Commissioner
(Appeals)"
"The Tamil Nadu Goods
and Services Act, 2017","Goods and Services
Tax",6.76,6 .76,-,2018-19,"Joint Commissioner
(Appeals)"
"The Tamil Nadu Goods
and Services Act, 2017","Goods and Services
Tax",6.46,-,6.46,2020-21,"Joint Commissioner
(Appeals)"
"The Tamil Nadu Goods
and Services Act, 2017","Goods and Services
Tax",5.72,5 .72,-,2019-20,"Joint Commissioner
(Appeals)"
"The Tamil Nadu Goods
and Services Act, 2017","Goods and Services
Tax",0.01,-,0.01,2019-20,"Joint Commissioner
(Appeals)"
"The Bihar Goods and
Services Tax Act, 2017","Goods and Services
Tax",3.31,0 .17,3.14,2019-20,"Joint Commissioner
(Appeals)"
"The Bihar Goods and
Services Tax Act, 2017","Goods and Services
Tax",71.76,-,71.76,2020-21,"Joint Commissioner
(Appeals)"
"The Union Territory
Goods and Services
Tax Act, 2017","Goods and Services
Tax",2.36,0 .11,2.25,2017-18,"Joint Commissioner
(Appeals)"
"The Andhra Pradesh
Goods and Services
Tax Act, 2017","Goods and Services
Tax",0.95,-,0.95,2019-20,"Joint Commissioner
(Appeals)"
"The West Bengal
Goods and Services
Tax Act, 2017","Goods and Services
Tax",0.94,0 .09,0.85,2023-24,"Joint Commissioner
(Appeals)"
"The Uttarakhand Goods
and Services Tax Act,
2017","Goods and Services
Tax",0.80,0 .07,0.73,2017-18,"Joint Commissioner
(Appeals)"
"The Uttar Pradesh
Goods and Services
Tax Act, 2017","Goods and Services
Tax","1 ,410.19",-,"1,410.19",Multiple,"Joint Commissioner
(Appeals)"
"The Uttar Pradesh
Goods and Services
Tax Act, 2017","Goods and Services
Tax",64.07,5 .82,58.25,2017-18,"Joint Commissioner
(Appeals)"
"The Gujarat Goods and
Services Act, 2017","Goods and Services
Tax",3.75,0 .16,3.59,2017-18 to 2019-20,"Joint Commissioner
(Appeals)"
"The Uttar Pradesh
Goods and Services
Tax Act, 2017","Goods and Services
Tax",0.12,-,0.12,2018-19,"Joint Commissioner
(Appeals)"
"The Uttar Pradesh
Goods and Services
Tax Act, 2017","Goods and Services
Tax",0.10,-,0.10,2019-20,"Joint Commissioner
(Appeals)"
"The Jharkhand Goods
and Services Tax Act,
2017","Goods and Services
Tax",0.06,0 .06,-,2017-18,"Joint Commissioner
(Appeals)"
"The Jammu and
Kashmir Goods and
Services Tax Act, 2017","Goods and Services
Tax",0.02,-,0.02,2020-21,"Joint Commissioner
(Appeals)"
"The Jammu and
Kashmir Goods and
Services Tax Act, 2017","Goods and Services
Tax",0.26,-,0.26,2017-18,"Joint Commissioner
(Appeals)"
