Particulars,"As at September 30, 2025","As at March 31, 2025","As at March 31, 2024","As at March 31, 2023"
"Profit for the period (as per the audited financial statements/ audited special purpose
financial statements)
Adjustments",2 01.33,"594.74
-","424.14
-","517.47
-"
Restated profit for the period as per the restated statement of profit and loss,201.33,5 94.74,424.14,517.47
