Ratios,"Unit of
measurement",Numerator,Denominator,"March 31, 2025","March 31, 2024",% Change,Reason for Variance (where change is more than 25%)
Current Ratio,Times,Total Current Assets,Total Current Liabilities,1 .95,1.59,22%,
Debt-Equity Ratio,Times,Total Debt = Borrowings + Lease liabilities,Shareholder’s equity,0 .07,0.10,-27%,"VarianceisonaccountofincreaseinShareholdersequityduetothe
profit earned during the year ended March 31, 2025."
Debt Service Coverage Ratio,Times,"Earning Available for Debt Service= Profit
for the year + Finance costs + Non cash
Operating expenses","Debt Service = Finance costs and
lease payment + Principal
repayment",2 4.33,20.34,20%,
Inventory turnover ratio,Times,Revenue from operations,Average inventories,8 .98,8.47,6%,
Trade receivables turnover ratio,Times,Revenue from operations,Average trade receivables,1 1.72,12.95,-10%,
Trade payables turnover ratio,Times,Purchases,Average trade payables,5 .26,4.72,11%,
Net capital turnover ratio,Times,Revenue from operations,"Working capital (Current Assets-
Current Liabilities)",5 .25,8.64,-39%,"Variance isprimarilyduetoincreasedbalancesofcurrentassetsduring
thecurrent year,particularlyininventories,cashandcashequivalents
andtradereceivables,comparedtothepreviousyearonaccountof
increase in business operations."
Return on Equity Ratio,%,Profit for the year,Average Shareholder's equity,4 5.23,37.18,22%,
Net profit ratio,%,Profit for the year,Revenue from operations,9 .04,7.08,28%,"Varianceisonaccountofincreaseinprofitduringthecurrentyeardue
to decrease in prices of raw material consumed."
Return on Capital employed,%,Earnings before finance costs and tax,"Capital employed= (Shareholder's
equity - Amalgamation reserve+
Total Debt + Deferred tax liabilities)",4 7.06,49.87,-6%,
Return on investment,%,Earnings before finance costs and tax,Average total assets,2 9.91,23.62,27%,"Varianceisonaccountofincreaseinprofitduringthecurrentyeardue
to decrease in prices of raw material consumed."
