A,Profit & Loss (P&L),,,
1,Current service cost,436.90,433.40,957.30
2,Past service cost - plan amendments,0.00,"1,256.40",0.00
3,Curtailment cost / (credit),0.00,0.00,0.00
4,Settlement cost / (credit),0.00,0.00,0.00
5,Service cost,436.90,"1,689.80",957.30
6,"Net interest on net defined benefit
liability / (asset)",531.50,564.10,522.70
7,"Immediaterecognitionof(gains)/losses
– other long term employee benefit",0.00,0.00,0.00
8,Cost recognised in P&L,968.40,"2,253.90","1,480.00"
A,"Development of Net Balance Sheet
Position",,,
1,Defined benefit obligation (DBO),"(32,018.10)","(32,911.50)","(32,166.20)"
2,Fair value of plan assets (FVA),"24,130.80","23,944.00","22,689.30"
3,Funded status [surplus/(deficit)],"(7,887.40)","(8,967.60)","(9,476.90)"
4,Effect of Asset ceiling,0.00,0.00,0.00
5,Net defined benefit asset/ (liability),"(7,887.40)","(8,967.60)","(9,476.90)"
A,"Development of Net Balance Sheet
Position",,,
1,Defined benefit obligation (DBO),"(9,232.70)","(9,216.70)","(7,663.90)"
2,Fair value of plan assets (FVA),"1,544.70","2,494.40","4,335.70"
3,Funded status [surplus/(deficit)],"(7,688.00)","(6,722.30)","(3,328.20)"
4,Effect of Asset ceiling,0.00,0.00,0.00
5,Net defined benefit asset/ (liability),"(7,688.00)","(6,722.30)","(3,328.20)"
A,"Development of Net Balance Sheet
Position",,,
1,Defined benefit obligation (DBO),"(8,104.40)","(7,586.00)","(7,058.80)"
2,Fair value of plan assets (FVA),"4,788.30","4,122.40","3,332.30"
3,Funded status [surplus/(deficit)],"(3,316.10)","(3,463.60)","(3,726.50)"
4,Effect of Asset ceiling,0.00,0.00,0.00
5,Net defined benefit asset/ (liability),"(3,316.10)","(3,463.60)","(3,726.50)"
