,"Amount in Capital work in Progress as at March 31, 2023",,,,
,"Less than 1
year",1-2 years,2-3 years,"More than 3
years",Total
Projects in progress:,,,,,
"Building (including water supply, roads and",483.00,4 64.90,5 92.80,"2 ,372.70","3,913.40"
Plant and Equipment,876.40,7 86.80,7 29.00,"2 ,128.80","4,521.00"
Railway Sidings,608.50,3 62.40,1 25.80,2 13.50,"1,310.20"
Other Mining infrastructure/Development,"1,214.90","1 ,165.50",2 29.30,9 56.40,"3,566.10"
Rail Corridor under Construction,-,-,-,-,-
Solar Project,-,-,-,-,-
Others,-,-,-,-,-
Projects temporarily suspended:,,,,,
Kapuria Block,-,-,-,65.00,65.00
Total,"3,182.80","2 ,779.60","1 ,676.90","5 ,736.40","13,375.70"
,"Amount in Exploration & Evaluation as at March 31, 2023",,,,
,"Less than
1 year",1-2 years,2-3 years,"More than
3 years",Total
Projects in progress:,2 27.40,802.80,-,523.40,"1,553.60"
Projects temporarily suspended :,,,,,
Kalyaneshwari Project,,,185.20,,185.20
Total,2 27.40,802.80,185.20,523.40,"1,738.80"
,"Amount in Intangible assets under development as at
March 31, 2023",,,,
,"Less than 1
year",1-2 years,"2-3
years","More than
3 years",Total
Projects in progress:,,,,,
,,,,,-
Projects temporarily suspended :,,,,,
Project Name,,,,,-
Total,-,-,-,-,-
