A,"Change in Defined Benefit Obligation
(DBO)",,,
1,DBO at end of prior period,"32,911.50","32,166.20","31,341.10"
2,Current service cost,436.90,433.40,957.30
3,Interest cost on the DBO,"2,154.70","2,207.50","2,002.20"
4,Curtailment (credit)/ cost,0.00,0.00,0.00
5,Settlement (credit)/ cost,0.00,0.00,0.00
6,Past service cost - plan amendments,0.00,"1,256.40",0.00
7,Acquisitions (credit)/ cost,0.00,0.00,0.00
8,Actuarial (gain)/loss - experience,(19.40),100.50,"2,680.20"
9,"Actuarial (gain)/loss - demographic
assumptions",0.00,0.00,0.00
10,"Actuarial (gain)/loss - financial
assumptions",795.10,601.90,"(1,020.00)"
11,Benefits paid directly by the Company,0.00,0.00,0.00
12,Benefits paid from plan assets,"(4,260.60)","(3,854.30)","(3,794.60)"
13,DBO at end of current period,"32,018.10","32,911.50","32,166.20"
A,"Change in Defined Benefit Obligation
(DBO)",,,
1,DBO at end of prior period,"9,216.70","7,663.90","5,596.30"
2,Current service cost,"1,806.10","1,632.20","1,400.30"
3,Interest cost on the DBO,586.40,486.10,376.80
4,Curtailment (credit)/ cost,0.00,0.00,0.00
5,Settlement (credit)/ cost,0.00,0.00,0.00
6,Past service cost - plan amendments,0.00,888.90,0.00
7,Acquisitions (credit)/ cost,0.00,0.00,0.00
8,Actuarial (gain)/loss - experience,"(1,004.00)",335.40,723.60
9,"Actuarial (gain)/loss - demographic
assumptions",0.00,0.00,0.00
10,"Actuarial (gain)/loss - financial
assumptions",307.10,220.50,(322.00)
11,Benefits paid directly by the Company,0.00,0.00,0.00
12,Benefits paid from plan assets,"(1,679.60)","(2,010.20)",(111.00)
13,DBO at end of current period,"9,232.70","9,216.70","7,663.90"
A,"Change in Defined Benefit Obligation
(DBO)",,,
1,DBO at end of prior period,"7,586.00","7,058.80","7,044.90"
2,Current service cost,150.90,152.50,166.80
3,Interest cost on the DBO,522.20,513.00,453.20
4,Curtailment (credit)/ cost,0.00,0.00,0.00
5,Settlement (credit)/ cost,0.00,0.00,0.00
6,Past service cost - plan amendments,0.00,0.00,0.00
7,Acquisitions (credit)/ cost,0.00,0.00,0.00
8,Actuarial (gain)/loss - experience,(261.00),(327.50),582.20
9,"Actuarial (gain)/loss - demographic
assumptions",0.00,0.00,0.00
10,"Actuarial (gain)/loss - financial
assumptions",359.10,253.10,(426.80)
11,Benefits paid directly by the Company,0.00,0.00,0.00
12,Benefits paid from plan assets,(252.70),(63.80),(761.40)
13,DBO at end of current period,"8,104.40","7,586.00","7,058.80"
