C,Defined Benefit Cost,,,
1,Service cost,436.90,1689.80,957.30
2,"Net interest on net defined benefit
liability / (asset)",531.50,564.10,522.70
3,"Actuarial(gains)/lossesrecognizedin
OCI",701.40,736.90,"1,690.70"
4,"Immediaterecognitionof(gains)/losses
– other long term employee benefit",0.00,0.00,0.00
5,"plans
Defined Benefit Cost","1 ,669.80","2,990.70","3,170.70"
C,Defined Benefit Cost,,,
1,Service cost,"1 ,806.10","2,521.00","1,400.30"
2,"Net interest on net defined benefit
liability / (asset)",470.60,243.00,203.60
3,"Actuarial(gains)/lossesrecognizedin
OCI",0.00,0.00,0.00
4,"Immediaterecognitionof(gains)/losses
– other long term employee benefit
plans","(1,311.00)",630.20,205.60
5,Defined Benefit Cost,965.60,3394.20,1809.50
C,Defined Benefit Cost,,,
1,Service cost,150.90,152.50,166.80
2,"Net interest on net defined benefit
liability / (asset)",223.10,251.80,273.40
3,"Actuarial(gains)/lossesrecognizedin
OCI",30.30,(113.50),108.70
4,"Immediaterecognitionof(gains)/losses
– other long term employee benefit
plans",0.00,0.00,0.00
5,Defined Benefit Cost,404.30,290.80,548.90
