B,"Reconciliation of Net Balance Sheet
Position",,,
1,"Netdefinedbenefitasset/(liability)at
end of prior period","(8,967.60)","(9,476.90)","(9,067.10)"
2,Service cost,(436.90),"(1,689.80)",(957.30)
3,"Net interest on net defined benefit
liability/ (asset)",(531.50),(564.10),(522.70)
4,Amount recognised in OCI,(701.50),(736.90),"(1,690.70)"
5,Employer contributions,"2,750.00","3,500.00","2,761.00"
6,Benefit paid directly by the Company,0.00,0.00,0.00
7,Acquisitions credit/ (cost),0.00,0.00,0.00
8,Divestitures,0.00,0.00,0.00
9,Cost of termination benefits,0.00,0.00,0.00
10,"Netdefinedbenefitasset/(liability)at
end of current period","(7,887.40)","(8,967.60)","(9,476.90)"
B,"Reconciliation of Net Balance Sheet
Position",,,
1,"Netdefinedbenefitasset/(liability)at
end of prior period","(6,722.30)","(3,328.20)","(4,468.70)"
2,Service cost,"(1,806.10)","(2,521.10)","(1,400.30)"
3,"Net interest on net defined benefit
liability/ (asset)",(470.60),(243.00),(203.60)
4,Actuarial (losses)/ gains,"1,311.00",(630.20),(205.60)
5,Employer contributions,0.00,0.00,"2,950.00"
6,Benefit paid directly by the Company,0.00,0.00,0.00
7,Acquisitions credit/ (cost),0.00,0.00,0.00
8,Divestitures,0.00,0.00,0.00
9,Cost of termination benefits,0.00,0.00,0.00
10,"Netdefinedbenefitasset/(liability)at
end of current period","(7,688.00)","(6,722.30)","(3,328.20)"
B,"Reconciliation of Net Balance Sheet
Position",,,
1,"Netdefinedbenefitasset/(liability)at
end of prior period","(3,463.60)","(3,726.50)","(4,864.40)"
2,Service cost,(150.90),(152.50),(166.80)
3,"Net interest on net defined benefit
liability/ (asset)",(223.10),(251.80),(273.40)
4,Amount recognised in OCI,(30.30),113.50,(108.70)
5,Employer contributions,551.80,553.70,"1,686.70"
6,Benefit paid directly by the Company,0.00,0.00,0.00
7,Acquisitions credit/ (cost),0.00,0.00,0.00
8,Divestitures,0.00,0.00,0.00
9,Cost of termination benefits,0.00,0.00,0.00
10,"Netdefinedbenefitasset/(liability)at
end of current period","(3,316.10)","(3,463.60)","(3,726.60)"
