Name of the Customer,"For The Six Months Ended
September 30, 2025",,"For The Six Months Ended
September 30, 2025",
,"Sales
(₹ Millions)",% of Sales,"Contribution to
Revenue from
Operations
(₹ Millions)","% of Revenue from
Operations"
Damodar Valley Corporation (DVC),"1 4,237.81",18.99%,"1 5,294.74",27.03%
"Uttar Pradesh Rajya Vidyut Utpadan
Nigam Limited (UPRVUNL)","8 ,239.76",10.99%,"8 ,712.88",15.40%
Steel Authority of India Limited (SAIL),"7 ,272.32",9.70%,"7 ,992.00",14.12%
,"Sales
(₹ Millions)",% of Sales,"Contribution to
Revenue from
Operations
(₹ Millions)","% of Revenue from
Operations"
Damodar Valley Corporation (DVC),"1 5,187.63",18.00%,"1 6,356.50",23.89%
Steel Authority of India Limited (SAIL),"1 1,054.93",13.11%,"1 1,875.49",17.35%
"Uttar Pradesh Rajya Vidyut Utpadan
Nigam Limited (UPRVUNL)","7 ,880.95",9.34%,"8 ,332.77",12.17%
Name of the Customer,"For The Year Ended
March 31, 2025",,"For The Year Ended
March 31, 2025",
,"Sales
(₹ Millions)",% of Sales,"Contribution to
Revenue from
Operations
(₹ Millions)","% of Revenue from
Operations"
Damodar Valley Corporation (DVC),"5 1,294.20",29.39%,"3 7,086.21",26.87%
Steel Authority of India Limited (SAIL),"2 4,328.40",13.94%,"2 1,767.01",15.77%
"Uttar Pradesh Rajya Vidyut Utpadan
Nigam Limited (UPRVUNL)","2 1,769.60",12.48%,"1 6,279.12",11.79%
"National Thermal Power Corporation
(NTPC)","2 1,294.70",12.20%,"1 8,346.65",13.29%
