,"Amount in Capital work in Progress as at September 30, 2024",,,,
,"Less than 1
year",1-2 years,2-3 years,"More than 3
years",Total
Projects in progress:,,,,,
"Building (including water supply, roads and
culverts)",471.30,4 64.80,3 97.20,"2 ,810.20","4,143.50"
Plant and Equipment,928.70,"1 ,164.70",9 61.90,6 77.30,"3,732.60"
Railway Sidings,364.00,4 97.30,8 27.30,3 87.00,"2,075.60"
Other Mining infrastructure/Development,666.40,8 65.40,"1 ,076.00","2 ,047.30","4,655.10"
Rail Corridor under Construction,-,-,-,-,-
Solar Project,"1,642.20",-,-,-,"1,642.20"
Others,-,-,-,-,-
Projects temporarily suspended:,,,,,
Kapuria Block,,,,65.00,65.00
Total,"4,072.60","2 ,992.20","3 ,262.40","5 ,986.80","16,314.00"
,"Amount in Capital work in Progress as at March 31, 2024",,,,
,"Less than 1
year",1-2 years,2-3 years,"More than 3
years",Total
Projects in progress:,,,,,
"Building (including water supply, roads and
culverts)",451.90,5 20.10,2 39.50,"2 ,842.90","4,054.40"
Plant and Equipment,"1,030.20",7 77.90,5 26.90,6 69.80,"3,004.80"
Railway Sidings,"1,513.60",4 39.50,4 23.90,1 91.60,"2,568.60"
Other Mining infrastructure/Development,749.70,"1 ,266.00","1 ,178.00","1 ,056.60","4,250.30"
Rail Corridor under Construction,-,-,-,-,-
Solar Project,176.40,-,-,-,176.40
Others,-,-,-,-,-
Projects temporarily suspended:,,,,,
Kapuria Block,,,,65.00,65.00
Total,"3,921.80","3 ,003.50","2 ,368.30","4 ,825.90","14,119.50"
,"Amount in Exploration & Evaluation as at September 30, 2024",,,,
,"Less than
1 year",1-2 years,2-3 years,"More than
3 years",Total
Projects in progress:,61.60,"1,067.60",-,523.30,"1,652.50"
Projects temporarily suspended :,,,,,
Kalyaneshwari Project,,,185.20,,185.20
Total,61.60,"1,067.60",185.20,523.30,"1,837.70"
,"Amount in Exploration & Evaluation as at March 31, 2024",,,,
,"Less than
1 year",1-2 years,2-3 years,"More than
3 years",Total
Projects in progress:,79.30,"1,030.20",-,523.40,"1,632.90"
Projects temporarily suspended :,,,,,
Kalyaneshwari Project,,,185.20,,185.20
Total,79.30,"1,030.20",185.20,523.40,"1,818.10"
,"Amount in Intangible assets under development as at
September 30, 2024",,,,
,"Less than 1
year",1-2 years,"2-3
years","More than
3 years",Total
Projects in progress:,,,,,
,,,,,-
Projects temporarily suspended :,,,,,
Project Name,,,,,-
Total,-,-,-,-,-
,"Amount in Intangible assets under development as at
March 31, 2024",,,,
,"Less than 1
year",1-2 years,"2-3
years","More than
3 years",Total
Projects in progress:,,,,,
,,,,,-
Projects temporarily suspended :,,,,,
Project Name,,,,,-
Total,-,-,-,-,-
