,"Amount in Capital work in Progress as at September 30, 2025",,,,
,"Less than 1
year",1-2 years,2-3 years,"More than 3
years",Total
Projects in progress:,,,,,
"Building (including water supply, roads and
culverts)",481.50,4 31.80,"1 ,414.10","1 ,003.30","3,330.70"
Plant and Equipment,"1,123.10","1 ,027.80","1 ,363.10",9 31.30,"4,445.30"
Railway Sidings,106.10,"1 ,230.40",6 43.60,7 80.90,"2,761.00"
Other Mining infrastructure/Development,"1,196.30",9 02.00,9 19.20,"2 ,732.90","5,750.40"
Rail Corridor under Construction,-,-,-,-,-
Solar Project,347.10,"1 ,223.20",8 54.80,-,"2,425.10"
Others,-,-,-,-,-
Projects temporarily suspended:,,,,,
Kapuria Block,,,,65.00,65.00
Total,"3,254.10","4 ,815.20","5 ,194.80","5 ,513.40","18,777.50"
,"Amount in Capital work in Progress as at March 31, 2025",,,,
,"Less than 1
year",1-2 years,2-3 years,"More than 3
years",Total
Projects in progress:,,,,,
"Building (including water supply, roads and
culverts)",795.80,5 06.60,2 05.60,"1 ,682.40","3,190.40"
Plant and Equipment,"1,193.80",9 36.30,6 29.20,8 29.70,"3,589.00"
Railway Sidings,445.80,2 92.70,8 12.00,"1 ,020.30","2,570.80"
Other Mining infrastructure/Development,"1,101.50",8 06.00,"1 ,007.30","2 ,141.50","5,056.30"
Rail Corridor under Construction,-,-,-,-,-
Solar Project,"1,242.80",8 59.80,-,-,"2,102.60"
Others,-,-,-,-,-
Projects temporarily suspended:,,,,,
Kapuria Block,,,,65.00,65.00
Total,"4,779.70","3 ,401.40","2 ,654.10","5 ,738.90","16,574.10"
,"Amount in Exploration & Evaluation as at September 30, 2025",,,,
,"Less than
1 year",1-2 years,2-3 years,"More than
3 years",Total
Projects in progress:,0.90,-,-,68.50,69.40
Projects temporarily suspended :,,,,,
Kalyaneshwari Project,,,185.20,454.90,640.10
Total,0.90,-,185.20,523.40,709.50
,"Amount in Exploration & Evaluation as at March 31, 2025",,,,
,"Less than
1 year",1-2 years,2-3 years,"More than
3 years",Total
Projects in progress:,6 87.20,"1,067.60",-,523.40,"2,278.20"
Projects temporarily suspended :,,,,,
Kalyaneshwari Project,,,185.20,,185.20
Total,6 87.20,"1,067.60",185.20,523.40,"2,463.40"
,"Amount in Intangible assets under development as at
September 30, 2025",,,,
,"Less than 1
year",1-2 years,"2-3
years","More than
3 years",Total
Projects in progress:,,,,,
,,,,,-
Projects temporarily suspended :,,,,,
Project Name,,,,,-
Total,-,-,-,-,-
,"Amount in Intangible assets under development as at
March 31, 2025",,,,
,"Less than 1
year",1-2 years,"2-3
years","More than
3 years",Total
Projects in progress:,,,,,
,,,,,-
Projects temporarily suspended :,,,,,
Project Name,,,,,-
Total,-,-,-,-,-
