1,"OpeningBalanceatthebeginningof
the Year","2 4,396.50","22,833.40","22,274.00"
2,Add: Investment during the Period/Year,"4 ,257.60","3,500.00","2,761.00"
3,"Add: Interest earned during the
Period/Year","1 ,896.40","1,711.20","1,613.10"
4,"Less:NetPremiumchargedbyLICfor
the Period/Year",1 04.50,102.30,164.10
5,"Less:GratuityFundreleasedbyLIC
during the Period/Year","6 ,222.30","3,545.80","3,650.60"
6,"Closing Balance at the end of the
Period/Year","2 4,223.70","24,396.50","22,833.40"
1,"OpeningBalanceatthebeginningof
the Year","2 ,323.60","2,824.70","1,127.60"
2,Add: Investment during the Period/Year,"7 ,610.00","6,830.00","6,950.00"
3,"Add: Interest earned during the
Period/Year",1 69.50,178.50,155.60
4,"Less:NetPremiumchargedbyLICfor
the Period/Year",9 .00,9.60,8.50
5,"Less:GratuityFundreleasedbyLIC
during the Period/Year","8 ,550.00","7,500.00","5,400.00"
6,"Closing Balance at the end of the
Period/Year","1 ,544.10","2,323.60","2,824.70"
1,"OpeningBalanceatthebeginningof
the Year","4 ,593.40","3,720.40","2,180.50"
2,Add: Investment during the Period/Year,7 8.10,553.70,"1,686.70"
3,"Add: Interest earned during the
Period/Year",3 66.80,319.30,228.90
4,"Less:NetPremiumchargedbyLICfor
the Period/Year",0.00,0.00,0.00
5,"Less:GratuityFundreleasedbyLIC
during the Period/Year",2 50.00,0.00,375.70
6,"Closing Balance at the end of the
Period/Year","4 ,788.30","4,593.40","3,720.40"
