1,"Fairvalueofassets atendofprior
period","23,944.00","22,689.30","22,274.00"
2,Acquisition adjustment,0.00,0.00,0.00
3,Interest income on plan assets,"1,623.20","1,643.40","1,479.40"
4,Employer contributions,"2,750.00","3,500.00","2,761.00"
5,"Returnonplanassetsgreater/(lesser)
than discount rate",74.10,(34.40),(30.50)
6,Benefits paid,"(4,260.60)","(3,854.30)","(3,794.60)"
7,"FairValueofassetsattheendof
current period","24,130.80","23,944.00","22,689.30"
B,Change in Fair Value of Assets,,,
1,"Fairvalueofassets atendofprior
period","2,494.40","4,335.70","1,127.60"
2,Acquisition adjustment,0.00,0.00,0.00
3,Interest income on plan assets,115.80,243.10,173.20
4,Employer contributions,0.00,0.00,"2,950.00"
B,Change in Fair Value of Assets,,,
1,"Fairvalueofassets atendofprior
period","4,122.40","3,332.30","2,180.50"
2,Acquisition adjustment,0.00,0.00,0.00
3,Interest income on plan assets,299.00,261.10,179.70
4,Employer contributions,551.80,553.70,"1,686.70"
5,"Returnonplanassetsgreater/(lesser)
than discount rate",67.70,39.10,46.70
6,Benefits paid,(252.70),(63.80),(761.40)
7,"FairValueofassetsattheendof
current period","4,788.30","4,122.40","3,332.20"
