Name,Designation,"Date (if joined/ceased during the financial
year)"
Shri Samiran Dutta,Chairman cum Managing Director,
Shri Samiran Dutta,Director (Finance) Additional charge,
Sri P.V.K.R. Mallikarjuna,Director (Personnel),"Ceased from July 31, 2022"
Sri Harsh Nath Mishra,Director (Personnel),"Additional Charge Joined November 01, 2022
Ceased February 22, 2023"
Sri Murlikrishna Ramaiah,Director (Personnel),"Joined February 23, 2023"
Shri Sanjay Kumar Singh,Director (Technical/OP),
Shri Uday A Kaole,Director (Technical/P&P),"Joined August 22, 2022"
Lt. Gen Narendra Singh,Independent Director,"Ceased from July 09, 2022"
Shri B. Veera Reddy,Non-Executive Director; Government Nominee; Director (T) CIL,"Ceased from August 23, 2022"
Sri Debashish Nanda,Non-Executive Director; Government Nominee; Director (BD) CIL,"Joined August 23, 2022"
Shri Anandji Prasad,"Non-Executive Director (Project Advisor, MoC, Govt. Nominee)",
Smt. Shashi Singh,Independent Director,
Shri Alok Kumar Agrawal,Independent Director,
Shri Satyabrata Panda,Independent Director,
Shri Ram Kumar Roy,Independent Director,
Shri B.K. Parui,Company Secretary,
