Particulars,,"Six months period ended September 30,",,,,,"Six months period ended September 30,",,,
,,2025,,,,,2024,,,
,"Amount
(in ₹ million)",Amount,,Percentage of,,"Amount
(in ₹ million)",Amount,,Percentage of,
,,(in ₹ million),,Revenue from,,,(in ₹ million),,Revenue from,
,,,,Operations (%),,,,,Operations (%),
Explosives,"1,314.70",,2.32%,,,"1,393.70",,2.04%,,
Timber,0.60,,0.00%,,,0.60,,0.00%,,
Oil and lubricants,"1,070.60",,1.89%,,,"1,242.10",,1.81%,,
HEMM spares,229.20,,0.41%,,,294.40,,0.43%,,
"Other consumable stores
and spares",112.20,,0.20%,,,142.80,,0.21%,,
"Cost of Materials
Consumed","2,727.30",,4.82%,,,"3,073.60",,4.49%,,
