,Fiscal 2024,,Fiscal 2023,
,Amount (₹million),As a Percentage,Amount (₹million),As a Percentage
Particulars,,,,
,,of Total Income,,of Total Income
,,(%),,(%)
Income,,,,
Revenue from operations,"5,306.53",99.02,"4,230.28",98.41
Other income,52.43,0.98,68.38,1.59
Total income,"5,358.96",100.00,"4,298.66",100.00
Expenses,,,,
Cost of materials consumed,"3,667.74",68.44,"3,039.60",70.71
Changes in inventories of finished goods and work-in-,(37.59),(0.70),(6.31),(0.15)
progress,,,,
Employee benefits expense,427.65,7.98,324.89,7.56
Finance costs,384.48,7.17,160.44,3.73
Depreciation and amortization expense,358.63,6.69,301.89,7.02
Other expenses,469.92,8.77,398.08,9.26
Total expenses,"5,270.83",98.36,"4,218.59",98.14
Profit before tax,88.13,1.64,80.07,1.86
Tax expense,,,,
Current tax,62.50,1.17,25.00,0.58
Deferred tax expense / (credit),(33.15),(0.62),(30.66),(0.71)
Total tax expense,29.35,0.55,(5.66),(0.13)
Profit for the year,58.78,1.10,85.73,1.99
Other comprehensive income,,,,
Items that will not be reclassified to profit or loss,,,,
Remeasurements of defined benefit liability,(4.33),(0.08),(2.67),(0.06)
Income-tax related to above item,1.26,0.02,0.74,0.02
Other comprehensive expense for the year (net of tax),(3.07),(0.06),(1.93),(0.04)
Total comprehensive income for the year,55.71,1.04,83.80,1.95
