Description,Gross Carrying amount,,,,,Accumulated depreciation,,,,"Carrying amount
(net)"
,"As at
01 April 2024","Additions pursuant
to business
combination",Additions,Deletions,"As at
30 June 2024","As at
01 April 2024",For the period,Deletions,"As at
30 June 2024","As at
30 June 2024"
"Computers, Laptops and Peripherals",2 27.67,-,9.58,( 8.65),228.60,138.78,16.29,(8.55),146.52,8 2.08
Furnitures & Fixtures,1 .29,-,0.39,-,1.68,0.21,0.04,-,0.25,1.43
Office Equipments,3 3.06,-,2.98,-,36.04,7.96,1.86,-,9.82,2 6.22
Network Equipments,1 6.31,-,-,-,16.31,3.78,0.68,-,4.46,1 1.85
Leasehold improvements,5 .49,-,-,-,5.49,1.99,0.56,-,2.55,2.94
Grand Total,2 83.82,-,12.95,( 8.65),288.12,152.72,19.43,(8.55),163.60,1 24.52
Description,Gross Carrying amount,,,,,Accumulated amortisation,,,,"Carrying amount
(net)"
,"As at
01 April 2024","Additions pursuant
to business
combination",Additions,Deletions,"As at
30 June 2024","As at
01 April 2024",For the period,Deletions,"As at
30 June 2024","As at
30 June 2024"
Software,5.03,-,-,-,5.03,0.79,0.13,-,0.91,4.12
License,432.50,-,-,-,432.50,-,-,-,-,432.50
Total,437.53,-,-,-,437.53,0.79,0.13,-,0.91,436.62
