Particulars,Currency,(Liabilities) / Assets,,,
,,"As at
September 30, 2025","As at
March 31, 2025","As at
March 31, 2024","As at
March 31, 2023"
Trade Payables,USD,"(1,652.55)","( 1,249.05)",(881.67),"( 1,186.17)"
Other Payable,BRL,0 .05,(0.67),-,-
Cash & Cash equivalents,USD,1 8.77,1 1.20,11.27,1 1.27
,GBP,0 .06,0 .06,0.05,0 .05
,RMB,0 .05,-,-,0 .02
,EURO,-,-,-,0 .27
,AED,0 .21,0 .20,0.19,0 .19
,CAD,0 .01,0 .01,0.01,0 .16
,BRL,1 0.40,1 .62,-,-
,AUD,-,-,-,0 .01
Trade Receivables,EURO,-,-,-,0 .07
,USD,7 40.77,5 65.69,438.85,413.48
Other Receivable,BRL,0 .34,0 .07,-,-
