Particulars,"Six months ended
September 30, 2025","Fiscal ended March 31,",,
,,2025,2024,2024
"Net Worth excluding Non-controlling Interest and
Capital Reserve (I)","5,298.50","4,500.32","3,704.57","3,634.71"
"Number of equity shares outstanding at the end of the
period / year (II)","39,018,750","39,018,750","39,018,750","41,220,045"
"Net asset value per equity share (I/II)
(₹ per equity share)",135.80,115.34,94.94,88.18
