GSP INTERMEDIATES PRIVATE LIMITED,GSP Crop Science Private Limited,Subsidiary,Interest Expense,24.99,3 8.25,10.03,-
GSP INTERMEDIATES PRIVATE LIMITED,GSP Crop Science Private Limited,Subsidiary,Investment,-,1 18.42,-,-
GSP INTERMEDIATES PRIVATE LIMITED,GSP Crop Science Private Limited,Subsidiary,Loan taken,199.50,3 96.30,4 27.18,-
For the,Name Of Party,"Nature of
Relationship",Nature of Transaction,"For the period ended
September 2025","For the Year ended
March 2025","For the Year ended
March 2024","For the Year ended
March 2023"
GSP INTERMEDIATES PRIVATE LIMITED,GSP Crop Science Private Limited,Subsidiary,Loan Repaid,-,4 18.71,-,-
GSP INTERMEDIATES PRIVATE LIMITED,GSP Crop Science Private Limited,Subsidiary,Job Work income,82.14,-,-,-
INDO GSP CHEMICALS PRIVATE LIMITED,GSP Crop Science Private Limited,Subsidiary*,Purchase of Goods,-,-,"2 ,049.06","2 ,225.35"
INDO GSP CHEMICALS PRIVATE LIMITED,GSP Crop Science Private Limited,Subsidiary*,Reimbursement of Expense,-,-,0.53,1 .75
INDO GSP CHEMICALS PRIVATE LIMITED,GSP Crop Science Private Limited,Subsidiary*,Rodtep Licence income,-,-,3.76,3 .00
INDO GSP CHEMICALS PRIVATE LIMITED,GSP Crop Science Private Limited,Subsidiary*,Export Benefit Expense,-,-,0.08,0 .08
INDO GSP CHEMICALS PRIVATE LIMITED,GSP Crop Science Private Limited,Subsidiary*,MEIS License income,-,-,-,-
INDO GSP CHEMICALS PRIVATE LIMITED,GSP Crop Science Private Limited,Subsidiary*,Reimbursement of Expense,-,-,-,-
INDO GSP CHEMICALS PRIVATE LIMITED,GSP Crop Science Private Limited,Subsidiary*,Interest Expense,-,-,3.55,-
GSP Agroquimica Do Brazil LTDA,GSP Crop Science Private Limited,Subsidiary,Purchase of product,3.72,-,-,-
Rajdhani Petrochemicals Private Limited,GSP Crop Science Private Limited,Subsidiary,Purchase of product,581.86,"1 ,024.44",5 95.23,9 38.16
Rajdhani Petrochemicals Private Limited,GSP Crop Science Private Limited,Subsidiary,Rent Expense,-,,-,0 .01
Rajdhani Petrochemicals Private Limited,GSP Crop Science Private Limited,Subsidiary,Purchase of Asset,-,0.63,-,-
Rajdhani Petrochemicals Private Limited,GSP Crop Science Private Limited,Subsidiary,Sales of Products,846.14,"1 ,728.70","1 ,198.87","1 ,267.70"
Rajdhani Petrochemicals Private Limited,GSP Crop Science Private Limited,Subsidiary,Sales of Fixed Assets,-,0.05,-,0 .21
Rajdhani Petrochemicals Private Limited,GSP Crop Science Private Limited,Subsidiary,Management Fees and Commission,-,2 70.15,1 86.79,2 02.01
Rajdhani Petrochemicals Private Limited,GSP Crop Science Private Limited,Subsidiary,Other Income,-,-,0.05,-
Rajdhani Petrochemicals Private Limited,GSP Crop Science Private Limited,Subsidiary,Other Expenses,-,-,-,0 .22
Rajdhani Petrochemicals Private Limited,GSP Crop Science Private Limited,Subsidiary,Dividend Paid,30.00,-,-,-
Rajdhani Petrochemicals Private Limited,GSP Crop Science Private Limited,Subsidiary,Reimbursement of Expenses,-,-,0.16,0 .30
