Particulars,"As at/ for the
six months ended
September 30,
2025
INR Crores","As at/ for the
year ended
March 31,
2025
INR Crores","As at/ for the
year ended
March 31,
2024
INR Crores","As at/ for the
year ended
March 31,
2023
INR Crores"
Total assets,100.03,45.96,11.91,10.20
Total revenue,75.68,24.95,20.16,35.59
Net cash inflows/(outflows),15.99,0.29,5.74,7.72
