"Powerica Limited
CIN: U31100MH1984PLC032825
Notes to the Restated Consolidated Financial Infomation",,,,,
(All,"amounts in Indian Rupees crores, except share data and where otherwise stated)",,,,
"Particulars Balance as Addition Accretion of Payments Adjustments Balance as at
at interest for Disposals 31.03.2024
01.04.2023
Land - 3 .65 0 .16 (0.18) - 3 .63
Buildings - 1 .31 0 .09 (0.30) - 1 .10
Total - 4 .96 0 .25 (0.48) - 4 .73
Current 0.39
Non - Current 4.34
The maturity analysis of the lease liability is included in Note No. iii - Financial Risk Management objectives and policies under maturities of
financial liabilities.
ii) Amounts recognized in Profit and Loss
Six Months Ended Year Ended Year Ended Year Ended
Particulars
30.09.2025 31.03.2025 31.03.2024 31.03.2023
Depreciation expense of right-of-use assets (Refer Note 38) 1.09 1.50 0.49 0.15
Interest Expenses on lease liabilities (Refer Note 37) 0.68 0.92 0.24 -
Expense related to short-term leases (Refer Note 39) 0.91 3 .33 3 .57 2 .91
Total 2 .68 5 .75 4 .30 3 .06
iii) Financial Risk Management
Maturities of Financial Liabilities:
ThetablebelowanalysetheGroup’sfinancialliabilitiesintorelevantmaturityanalysisbasedontheircontractualmaturitiesforallfinancial
liabilities. The amounts disclosed in the table are the contractual undiscounted cash flows.
Contractual maturities of financial liabilities Less than 1 Year 1 Year to 5 Year More than 5 Total
Years
As at 30.09.2025
Lease Liabilities 2 .85 6 .75 26.86 3 6.46
As at 31.03.2025
Lease Liabilities 2 .47 5 .95 18.62 2 7.04
As at 31.03.2024
Lease Liabilities 0 .86 2 .46 8 .18 1 1.50
iv) Commitments and Contingencies
The Group has not entered into lease contracts that have not yet commenced as at respective period/year end dates.
B. Information about leases for which the Group is lessor is presented below:
The Group has given commercial premises forming part of Property, Plant and equipment on operating lease.
i) Amounts recognized in Profit and Loss:
Particulars Period Ended Year Ended Year Ended Year Ended
30.09.2025 31.03.2025 31.03.2024 31.03.2023
Lease Rental Income 1.47 2.66 2.46 2.42
Total 1.47 2.66 2.46 2.42
ii) Financial Risk Management:
Maturities of Lease Payments Receivable:
ThetablebelowanalysetheGroup’sleasepaymentreceivableintorelevantmaturityanalysisbasedontheircontractualmaturitiesforalllease
payments receivables. The amounts disclosed in the table are the contractual undiscounted cash flows.
Contractual maturities of lease payments receivable Less than 1 Year 1 Year to 5 Year More than 5 Total
Years
As at 30.09.2025
Lease Payments Receivable 1 .15 1 .59 0 .64 3 .38
As at 31.03.2025
Lease Payments Receivable 2 .30 1 .86 0 .65 4 .81
As at 31.03.2024
Lease Payments Receivable 2 .67 2 .16 0 .52 5 .35
As at 31.03.2023
Lease Payments Receivable 2.41 4.74 0.54 7 .69",,,,,
,Contractual maturities of lease payments receivable,Less than 1 Year,1 Year to 5 Year,"More than 5
Years",Total
,As at 30.09.2025,,,,
,Lease Payments Receivable,1 .15,1 .59,0 .64,3 .38
,As at 31.03.2025,,,,
,Lease Payments Receivable,2 .30,1 .86,0 .65,4 .81
,As at 31.03.2024,,,,
,Lease Payments Receivable,2 .67,2 .16,0 .52,5 .35
,As at 31.03.2023,,,,
,Lease Payments Receivable,2.41,4.74,0.54,7 .69
