Name of Subsidiary/ Associate,"Period/Year
Ended",Name of the auditor,"Audit’s report
date"
Name of Subsidiary,,,
Powerica Power Systems (FZE),"September 30,
2025",RNG Auditors L.L.C,"October 31, 2025"
Powerica Power Systems (FZE),"March 31, 2025",RNG Auditors L.L.C,"May 9, 2025"
Powerica Power Systems (FZE),"March 31, 2024",RNG Auditors,"June 6, 2024"
Powerica Power Systems (FZE),"March 31, 2023",RNG Auditors,"August 1, 2023"
Name of Associate,,,
Platino Automotive Private Limited,"September 30,
2025",CNGSN & Associates LLP,"November 5, 2025"
Platino Automotive Private Limited,"March 31, 2025",CNGSN & Associates LLP,"June 11, 2025"
