"KSH International Limited (formerly known as KSH International Private Limited)
Annexure V - Notes forming part of Restated Financial Statements
All amounts in INR millions",,,,
"Components of employer expenses/remeasurement
recognized in the Other Comprehensive Income (OCI)","For the period
ended 30 June 2025","For the year ended
31 March 2025","For the year ended
31 March 2024","For the year ended
31 March 2023"
Actuarial loss / (gain),0.65,5.19,0.79,(0.29)
"Return on plan assets, Excluding interest income*",(0.00),0.01,(0.00),0.04
Net (income)/expense recognized in the OCI,0.65,5.20,0.79,(0.25)
* denotes amount below rounding off norms adopted,,,,
Reconciliation Of Net Asset / (Liability) Recognised,"As at June 30, 2025","As at March 31,
2025","As at March 31,
2024","As at March 31,
2023"
"Net Asset/Liability recognised at the begininning of the
year/period",(8.93),(4.43),(4.52),(3.99)
Company contributions,0.52,3.21,2.96,1.65
Amount recognised outside profit & loss for the year/period,(0.65),(5.19),(0.79),0.25
Expense recognised at the end of the year/period,(0.91),(2.48),(2.14),(2.41)
"Claims received from the insurer in lieu of Unpaid Gratuity
Benefits",-,-,-,-
Mortality Charges and Taxes,(0.00),(0.05),(0.03),(0.01)
Benefits directly paid by company,-,-,0.09,-
Net asset / (liability) recognized in the Balance Sheet,(9.97),(8.94),(4.43),(4.52)
Composition of the plan assets,"As at June 30, 2025","As at March 31,
2025","As at March 31,
2024","As at March 31,
2023"
Policy of insurance,20.37,19.52,16.63,1 3.76
Total,20.37,19.52,16.63,1 3.76
Actuarial Assumptions:,"As at June 30, 2025","As at March 31,
2025","As at March 31,
2024","As at March 31,
2023"
Discount rate,6.80%,6.80%,7.20%,7.50%
Salary Escalation,8.00%,8.00%,5.00%,5.00%
Withdrawal rates per annum,"As at June 30, 2025","As at March 31,
2025","As at March 31,
2024","As at March 31,
2023"
- 30 years and below,3.00%,3.00%,10.00%,10.00%
- 31 to 40 years,2.00%,2.00%,5.00%,5.00%
- 41 to 50 years,2.00%,2.00%,3.00%,3.00%
- 50 years and above,1.00%,1.00%,2.00%,2.00%
