"KSH International Limited (formerly known as KSH International Private Limited)
Annexure V - Notes forming part of Restated Financial Statements
All amounts in INR Millions",,,,
Note 40: CIF Value of Imports,,,,
Particulars,"For the period
ended June 30,
2025","For the year
ended March
31, 2025","For the year
ended March
31, 2024","For the year
ended March
31, 2023"
Raw Material and Stores,"2,157.93","6,930.13","2,688.57","3,071.08"
Capital Goods,199.22,293.32,163.29,74.11
Components and Spares,1.72,11.78,2.95,3.48
Total,"2,358.87","7,235.23","2,854.82","3,148.66"
Note 41: Expenditure in Foreign Currency,,,,
Particulars,"For the period
ended June 30,
2025","For the year
ended March
31, 2025","For the year
ended March
31, 2024","For the year
ended March
31, 2023"
Travelling,0.91,3.55,1.86,3.31
Professional Consultancy and other expenses,2.20,5.95,12.68,8.26
Total,3.11,9.50,14.54,11.58
Note 42: FOB Value of Exports,,,,
Particulars,"For the period
ended June 30,
2025","For the year
ended March
31, 2025","For the year
ended March
31, 2024","For the year
ended March
31, 2023"
Export of Goods,"1,615.13","5,903.64","4,863.35","4,110.36"
