"KSH International Limited (formerly known as KSH International Private Limited)
Annexure V - Notes forming part of Restated Financial Statements
All amounts in INR Millions
Note 47: Stock Option Scheme
Description of plan ""KSH Employee Stock Option Scheme 2025""
TheCompanyhasintroducedemployeestockoptionscheme,employeeequity-settledcompensationschemeisknownas'KSH
Employee Stock Option Scheme 2025'. The employee stock option scheme is approved and authorized by the Board of
Directors.TheprimaryobjectivesoftheSchemearetorewardtheEmployeesfortheirassociation,dedicationandcontribution
tothegoalsoftheCompany.TheCompanyintendstousethisSchemetoattractandretainthekeytalentsbywayofrewarding
their performance and motivate them to contribute to the overall corporate growth and profitability. The Company views
Employee Stock Options as a long-term incentive tool that would assist in aligning Employees interest with that of the
shareholdersandenabletheEmployeesnotonlytobecomeco-owners,butalsotocreatewealthoutofsuchownershipinthe
future.
Thespecificemployeestowhomtheoptionswouldbegranted,andtheireligibilitywouldbedeterminedbytheNominationand
RemunerationCommittee.TheOptionsgrantedundertheSchemeshallVestnotearlierthantheminimumVestingPeriodof1
(One)yearandnotlaterthanmaximumVestingPeriodof6(Six)yearsfromthedateofGrant.Optionswillbevestedequally
overthreeyears.AnyoptiongrantedshallbeexercisableaccordingtothetermsandconditionsassetforthintheGrantLetter.
ExercisePeriodinrespectoftheVestedOptionshallbesubjecttoamaximumperiodof4(Four)yearsfromthedateofVesting
of Options or such shorter period as maybeprescribed bytheCommitteeat the timeof Grant. Under thesaid scheme, The
Company granted 1,07,413 options to employees pursuant to approval of the Board of Directors on May 06, 2025.
i) The description including terms and conditions of ESOPs is summarized as under:",
Particulars,
Date of shareholders' approval,06-May-25
Date(s) of grant,09-May-25
Total number of options approved,"1,07,413"
Exercise price or pricing formula,316.06
Variation in terms of options,None
ii) Option movement during the period,
Option movement during the period,Number of Options
a) Number of options outstanding at the beginning of the period,-
b) Number of options granted during the period,"1,07,413"
c) Number of options forfeited / lapsed during the period,-
d) Number of options expired during the period,-
e) Number of options vested during the period,-
f) Number of options exercised during the period,-
g) Number of shares arising as a result of exercise of options,-
h) Money realized by exercise of options,-
i) Number of options outstanding at the end of the period,"1,07,413"
j) Number of options exercisable at the end of the period,-
"iii) Fair value of the options granted:
TheCompanyhasrecordedemployeestock-basedcompensationexpenserelatingtotheoptionsgrantedtotheemployeesonthe
basis of fair value of options.
Thefairvalueoftheoptionsgrantedismentionedbelowaspervestingperiod.Thefairvalueoftheoptionsisdeterminedusing
Black-Scholes-Mertonmodelwhichtakesintoaccounttheexerciseprice, thetermoftheoption(timetomaturity), theshare
priceasatthegrantdateandexpectedpricevolatility(standarddeviation)oftheunderlyingshare,theexpecteddividendyield
and risk-free interest rate for the term of the option.",
