Name of the Entity,Name of the Counterparty,Nature of Closing Balances,"Period ended
September 30, 2025","Period ended
September 30, 2024","As at
March 31, 2025","As at
March 31, 2024","As at
March 31, 2023"
"Fractal Analytics Inc, USA",Eugenie.ai Inc,Provision for Impairment of equity investment,4,4,4,4,4
"Fractal Analytics Inc, USA",Eugenie.ai Inc,Inter-corporate loan/advances given,-,276,-,258,103
"Fractal Analytics Inc, USA",Eugenie.ai Inc,"Trade and other receivables including unbilled
receivables",-,96,-,96,71
"Fractal Analytics Inc, USA",Eugenie.ai Inc,Investment in common stock,4,4,4,4,4
"Fractal Analytics Inc, USA",Eugenie.ai Inc,Deemed Investment in subsidiary company,282,-,282,-,-
"Fractal Analytics Inc, USA",Eugenie.ai Inc,Provision for Impairment of deemed investment,282,-,282,-,-
"Fractal Analytics Inc, USA",Asper.AI Inc (Formerly known as Samya.AI Inc),Trade and other payables,-,8,0,-,-
"Fractal Analytics Inc, USA",Asper.AI Inc (Formerly known as Samya.AI Inc),"Trade and other receivables including unbilled
receivables",50,59,-,28,77
"Fractal Analytics Inc, USA",Asper.AI Inc (Formerly known as Samya.AI Inc),Investments in preference shares in subsidiary,766,680,680,472,163
"Fractal Analytics Inc, USA",Asper.AI Inc (Formerly known as Samya.AI Inc),Investment in common stock,375,375,375,375,212
"Fractal Analytics Inc, USA","Asper.AI Limited,UK (Formerly known as
Samya.AI Limited)",Trade and other payables,-,0,-,0,-
"Fractal Analytics Inc, USA",Senseforth AI Research Private Limited,"Trade and other receivables including unbilled
receivables",19,8,15,1,-
"Fractal Analytics Inc, USA","Senseforth, Inc",Provision for Impairment of equity investment,558,199,558,198,196
"Fractal Analytics Inc, USA","Senseforth, Inc",Trade and other payables,12,27,11,3,-
"Fractal Analytics Inc, USA","Senseforth, Inc","Trade and other receivables including unbilled
receivables",-,22,-,-,0
"Fractal Analytics Inc, USA","Senseforth, Inc",Investments in preference shares in subsidiary,52,52,52,52,52
"Fractal Analytics Inc, USA","Senseforth, Inc",Investment in common stock,426,426,426,426,426
"Fractal Analytics Inc, USA",Neal Analytics LLC,Trade and other payables,-,-,-,-,84
"Fractal Analytics Inc, USA",Neal Analytics LLC,Investment in common stock,-,-,-,-,"3,021"
"Fractal Analytics Inc, USA","Fractal Frontier, Inc",Provision for impairment on inter corporate loan,-,3,-,2,-
"Fractal Analytics Inc, USA","Fractal Frontier, Inc",Inter-corporate loan/advances given,-,3,-,2,0
"Fractal Analytics Inc, USA","Fractal Frontier, Inc",Provision for Impairment of deemed investment,3,-,3,-,-
"Fractal Analytics Inc, USA","Fractal Frontier, Inc",Deemed Investment in subsidiary company,3,-,3,-,-
"Fractal Analytics Inc, USA",Fractal Analytics FZ LLC,Trade and other payables,-,-,-24,3,4
"Fractal Analytics Inc, USA",Fractal Analytics FZ LLC,"Trade and other receivables including unbilled
receivables",126,39,1,-,-
"Fractal Analytics Inc, USA",Fractal AI Ltd. Abu Dhabi,Trade and other payables,-,5,1,-,-
"Fractal Private Limited, Singapore","Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Capital Contribution(ESOP),2,0,2,-,-
"Fractal Private Limited, Singapore","Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Trade and other receivables including unbilled
receivables",1,-,1,-,-
"Fractal Private Limited, Singapore","Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Trade and other payables,0,0,0,-,-
"Fractal Private Limited, Singapore","Fractal Analytics Inc, USA",Trade and other payables,33,52,26,-,4
"Fractal Private Limited, Singapore",Fractal Analytics (Canada) Inc,Investments in equity instruments in subsidiary (assets),1,1,1,1,1
"Fractal Private Limited, Singapore",Fractal Analytics (Switzerland) GmbH,Investments in equity instruments in subsidiary (assets),2,2,2,2,2
"Fractal Private Limited, Singapore",Fractal Analytics Germany GmbH,Investments in equity instruments in subsidiary (assets),2,2,2,2,2
"Fractal Private Limited, Singapore",Fractal Analytics Netherlands B.V,Investments in equity instruments in subsidiary (assets),2,2,2,2,2
"Fractal Private Limited, Singapore",Limited Liability Company Symphony (Ukraine),Investments in equity instruments in subsidiary (assets),22,22,22,22,22
"Fractal Private Limited, Singapore",Fractal Analytics Australia Pty Limited,Investments in equity instruments in subsidiary (assets),26,26,26,26,26
"Fractal Private Limited, Singapore",Fractal Analytics Malaysia SDN BHD,Investments in equity instruments in subsidiary (assets),9,9,9,9,9
"Fractal Private Limited, Singapore",Fractal Analytics (Shanghai) Ltd,Investments in equity instruments in subsidiary (assets),18,18,18,18,18
"Fractal Private Limited, Singapore",Fractal Analytics Sweden AB,Investments in equity instruments in subsidiary (assets),5,5,5,5,5
"Fractal Private Limited, Singapore",Fractal Analytics FZ LLC,Investments in equity instruments in subsidiary (assets),2,2,2,2,2
"Fractal Private Limited, Singapore",Fractal Japan K K,Investments in equity instruments in subsidiary (assets),-,-,-,3,-
"Fractal Private Limited, Singapore",Fractal AI Ltd. Abu Dhabi,"Trade and other receivables including unbilled
receivables",10,9,15,-,-
Cuddle Artificial Intelligence Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Inter corporate loan/advances taken,-,-,-,-,254
Cuddle Artificial Intelligence Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Interest accrued and but not due(payable),-,-,-,-,33
Cuddle Artificial Intelligence Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Trade and other payables,-,19,17,17,157
Cuddle Artificial Intelligence Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Trade and other receivables including unbilled
receivables",-,0,0,0,-
Cuddle Artificial Intelligence Private Limited,"Fractal Analytics Inc, USA",Trade and other payables,-,-,-,-,35
Cuddle Artificial Intelligence Private Limited,"Fractal Analytics Inc, USA","Trade and other receivables including unbilled
receivables",-,-,-,-,30
Cuddle Artificial Intelligence Private Limited,"Cuddle.ai Inc, USA",Provision for Impairment of equity investment,-,0,0,0,0
Cuddle Artificial Intelligence Private Limited,"Cuddle.ai Inc, USA","Impairment provision for deemed investment in
subsidiaries",-,-,-,-,3
Cuddle Artificial Intelligence Private Limited,"Cuddle.ai Inc, USA",Deemed Investment in subsidiary company,-,-,-,-,3
Cuddle Artificial Intelligence Private Limited,"Cuddle.ai Inc, USA",Trade and other payables,-,-,-,-,432
Cuddle Artificial Intelligence Private Limited,"Cuddle.ai Inc, USA","Trade and other receivables including unbilled
receivables",-,-,-,-,5
Cuddle Artificial Intelligence Private Limited,"Cuddle.ai Inc, USA",Investment in common stock,-,0,0,0,0
"Cuddle.ai Inc, USA","Fractal Analytics Inc, USA",Inter corporate loan/advances taken,-,-,-,-,146
"Cuddle.ai Inc, USA","Fractal Analytics Inc, USA",Interest accrued and but not due(payable),-,-,-,-,7
"Cuddle.ai Inc, USA","Fractal Analytics Inc, USA",Trade and other payables,-,-,-,-,259
"Cuddle.ai Inc, USA",Cuddle Artificial Intelligence Private Limited,Trade and other payables,-,-,-,-,5
"Cuddle.ai Inc, USA",Cuddle Artificial Intelligence Private Limited,"Trade and other receivables including unbilled
receivables",-,-,-,-,270
Qure.ai Technologies Private Limited,Qure Technologies Inc.,Deemed Investment in subsidiary company,-,-,-,-,3
Qure.ai Technologies Private Limited,Qure Technologies Inc.,Trade and other payables,-,-,-,-,97
Qure.ai Technologies Private Limited,Qure Technologies Inc.,"Trade and other receivables including unbilled
receivables",-,-,-,-,1
Qure.ai Technologies Private Limited,Eugenie Technologies Private Limited,"Trade and other receivables including unbilled
receivables",-,-,-,1,1
Qure.ai Technologies Private Limited,"Qure.ai Technologies Limited, UK",Deemed Investment in subsidiary company,-,-,-,-,4
Qure.ai Technologies Private Limited,"Qure.ai Technologies Limited, UK",Trade and other payables,-,-,-,-,129
Qure.ai Technologies Private Limited,"Qure.ai Technologies Limited, UK","Trade and other receivables including unbilled
receivables",-,-,-,-,40
Qure Technologies Inc.,"Fractal Analytics Inc, USA",Trade and other payables,-,1,-,5,-
Qure Technologies Inc.,Qure.ai Technologies Private Limited,Capital Contribution(ESOP),-,-,-,-,3
Qure Technologies Inc.,Qure.ai Technologies Private Limited,"Trade and other receivables including unbilled
receivables",-,-,-,-,97
Qure Technologies Inc.,Qure.ai Technologies Private Limited,Trade and other payables,-,-,-,-,1
Final Mile Consulting Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Trade and other payables,-,1,2,0,-
Final Mile Consulting Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Trade and other receivables including unbilled
receivables",-,-,-,-,22
Final Mile Consulting Private Limited,Final Mile Consulting LLC,"Trade and other receivables including unbilled
receivables",-,-,-,-,5
Final Mile Consulting LLC,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Trade and other payables,-,32,-,32,-
Final Mile Consulting LLC,"Fractal Analytics Inc, USA",Trade and other payables,336,338,343,341,356
Final Mile Consulting LLC,Final Mile Consulting Private Limited,Trade and other payables,-,-,-,-,5
"Fractal Analytics UK Limited, UK","Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Capital Contribution(ESOP),417,375,405,342,-
