Name of the Entity,Name of the Counterparty,Nature of Transactions,"Period ended
September 30, 2025","Period ended
September 30, 2024","Year ended
March 31, 2025","Year ended
March 31, 2024","Year ended
March 31, 2023"
"Fractal Analytics UK Limited, UK","Fractal Analytics Inc, USA",Dividend expense,-,-,-,-,159
"Fractal Analytics UK Limited, UK","Fractal Analytics Inc, USA","Reimbursement of expenses from (creating receivable
position)",5,3,6,-,-
"Fractal Analytics UK Limited, UK","Fractal Analytics Inc, USA","Expenses incurred for the company to(creating payable
position)",-,-,0,-,-
"Fractal Analytics UK Limited, UK",Senseforth AI Research Private Limited,Cost of delivery,-,-,-,4,-
"4i Consulting, Inc","Fractal Analytics Inc, USA",Revenue from operation,-,-,-,-,308
"4i Consulting, Inc",Limited Liability Company Symphony (Ukraine),Cost of delivery,-,-,-,-,91
"4i Consulting, Inc",Asper.AI Inc (Formerly known as Samya.AI Inc),"Reimbursement of expenses from (creating receivable
position)",-,-,-,-,1
"4i Consulting, Inc","Senseforth, Inc","Reimbursement of expenses from (creating receivable
position)",-,-,-,-,1
Fractal Analytics (Canada) Inc,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Deemed capital contribution,1,1,1,-,-
Fractal Analytics (Canada) Inc,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Expenses incurred for the company to(creating payable
position)",0,0,0,0,-
Fractal Analytics (Canada) Inc,"Fractal Analytics Inc, USA",Revenue from operation,87,199,346,526,259
Fractal Analytics (Canada) Inc,"Fractal Analytics Inc, USA","Reimbursement of expenses from (creating receivable
position)",-,4,4,-,-
Fractal Analytics (Canada) Inc,"Fractal Analytics Inc, USA","Expenses incurred for the company to(creating payable
position)",5,-,0,-,-
Fractal Analytics (Canada) Inc,Neal Analytics LLC,Revenue from operation,-,-,-,-,36
Fractal Analytics (Switzerland) GmbH,"Fractal Analytics Inc, USA",Revenue from operation,8,16,29,22,3
Fractal Analytics Germany GmbH,"Fractal Analytics Inc, USA",Revenue from operation,11,1,4,17,31
Fractal Analytics Netherlands B.V,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Deemed capital contribution,5,-,0,-,-
Fractal Analytics Netherlands B.V,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Expenses incurred for the company to(creating payable
position)",0,0,0,-,0
Fractal Analytics Netherlands B.V,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Reimbursement of expenses from (creating receivable
position)",-,0,0,-,-
Fractal Analytics Netherlands B.V,"Fractal Analytics Inc, USA",Revenue from operation,68,49,92,71,50
Limited Liability Company Symphony (Ukraine),"Fractal Analytics Inc, USA",Revenue from operation,28,20,42,75,-
Limited Liability Company Symphony (Ukraine),"4i Consulting, Inc",Revenue from operation,-,-,-,-,91
Fractal Analytics Australia Pty Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Deemed capital contribution,2,-,1,-,-
Fractal Analytics Australia Pty Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Reimbursement of expenses from (creating receivable
position)",-,1,1,-,-
Fractal Analytics Australia Pty Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Expenses incurred for the company to(creating payable
position)",-,0,0,0,-
Fractal Analytics Australia Pty Limited,"Fractal Analytics Inc, USA",Revenue from operation,-,43,14,387,307
Fractal Analytics Australia Pty Limited,Senseforth AI Research Private Limited,Cost of delivery,-,-,-,18,-
Fractal Analytics Australia Pty Limited,"Senseforth, Inc",Revenue from operation,-,-,-,-,0
Fractal Analytics Australia Pty Limited,"Senseforth, Inc",Cost of delivery,-,-,-,-,2
Fractal Analytics Australia Pty Limited,"Senseforth, Inc","Reimbursement of expenses from (creating receivable
position)",-,-,-,-,2
Fractal Analytics Malaysia SDN BHD,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Reimbursement of expenses from (creating receivable
position)",-,-,0,-,-
Fractal Analytics Malaysia SDN BHD,"Fractal Analytics Inc, USA",Revenue from operation,-,-,-,0,1
