"Period ended
September 30, 2025","Period ended
September 30, 2024","Year ended
March 31, 2025","Year ended
March 31, 2024"
"5,692
4,134
2,581
1,856
921","5,076
3,730
1,728
1,435
772","10,615
8,087
3,745
2,980
1,610","9 ,038
5 ,867
3 ,013
2 ,325
1 ,372"
"15,184","12,741","27,037","21,615"
"451
( 45)","275
( 9)","644
( 27)","3 65
(17)"
"15,590","13,007","27,654","21,963"
