Name of the Entity,Name of the Counterparty,Nature of Transactions,"Period ended
September 30, 2025","Period ended
September 30, 2024","Year ended
March 31, 2025","Year ended
March 31, 2024","Year ended
March 31, 2023"
Fractal Alpha Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Interest expense,-,0,0,0,0
Fractal Alpha Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Reimbursement of expenses from (creating receivable
position)",-,-,-,0,-
Fractal Alpha Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Deemed capital contribution,-,-,1,-,-
Analytics Vidhya Educon Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Staff training Income,40,6,20,15,9
Analytics Vidhya Educon Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Cost of delivery,5,3,6,-,-
Analytics Vidhya Educon Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Reimbursement of expenses from (creating receivable
position)",0,-,0,-,-
"Fractal Frontier, Inc","Fractal Analytics Inc, USA",Inter-company loan taken(Liability),-,1,1,0,0
"Fractal Frontier, Inc","Fractal Analytics Inc, USA",Sundry balance written Back,-,-,3,-,-
Fractal Analytics FZ LLC,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Expenses incurred for the company to(creating payable
position)",0,0,0,0,-
Fractal Analytics FZ LLC,"Fractal Analytics Inc, USA",Revenue from operation,-,28,81,53,6
Fractal Analytics FZ LLC,"Fractal Analytics Inc, USA",Inter-company loan taken(Liability),-,-,-,-,2
Fractal Analytics FZ LLC,"Fractal Analytics Inc, USA","Intercorporate loans/advances with interest repaid by
subsidiaries(liability)",-,-,-,-,2
Fractal Analytics FZ LLC,"Fractal Analytics Inc, USA","Expenses incurred for the company to(creating payable
position)",-,-,-,1,-
Fractal AI Ltd. Abu Dhabi,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Expenses incurred for the company to(creating payable
position)",0,0,0,-,-
Fractal AI Ltd. Abu Dhabi,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Reimbursement of expenses from (creating receivable
position)",-,-,1,-,-
Fractal AI Ltd. Abu Dhabi,"Fractal Analytics Inc, USA",Revenue from operation,4,5,12,-,-
Fractal AI Ltd. Abu Dhabi,"Fractal Private Limited, Singapore","Expenses incurred for the company to(creating payable
position)",-,-,12,-,-
"Qure.ai Technologies Limited, UK",Qure.ai Technologies Private Limited,Marketing support services given,-,-,-,-,125
"Fractal Analytics Inc, USA",Eugenie.ai Inc,Deemed Investment in subsidiary company,-,-,282,-,-
Eugenie.ai Inc,"Fractal Analytics Inc, USA",Deemed capital contribution,-,-,282,-,-
"Fractal Analytics Inc, USA","Fractal Frontier, Inc",Deemed Investment in subsidiary company,-,-,3,-,-
"Fractal Frontier, Inc","Fractal Analytics Inc, USA",Deemed capital contribution,-,-,3,-,-
Eugenie Technologies Private Limited,Eugenie.ai Inc,Sundry balance written off,-,-,12,-,-
Eugenie.ai Inc,Eugenie Technologies Private Limited,Sundry balance written Back,-,-,12,-,-
"Fractal Analytics Inc, USA","Senseforth, Inc",Provision for impairment of deemed investment,-,-,355,-,-
"Fractal Analytics Inc, USA",Eugenie.ai Inc,"Reversal of provision for impairment on loan &
receivables",-,-,362,-,-
"Fractal Analytics Inc, USA","Fractal Frontier, Inc","Reversal of provision for impairment on loan &
receivables",-,-,-1,-,-
Qure.ai Technologies Private Limited,Qure Technologies Inc.,Revenue from operation,-,-,-,-,1
Qure.ai Technologies Private Limited,"Qure.ai Technologies Limited, UK",Revenue from operation,-,-,-,-,36
Qure Technologies Inc.,Qure.ai Technologies Private Limited,Cost of delivery,-,-,-,-,1
"Qure.ai Technologies Limited, UK",Qure.ai Technologies Private Limited,Cost of delivery,-,-,-,-,36
Senseforth AI Research Private Limited,"Senseforth, Inc",Sundry balance written off,-,-,-,13,-
"Senseforth, Inc",Senseforth AI Research Private Limited,Sundry balance written Back,-,-,-,12,-
Senseforth AI Research Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Deemed capital contribution (ESOP),-,3,194,19,36
"Fractal Analytics Inc, USA",Eugenie Technologies Private Limited,Reversal of provision for doubtful receivables and loans,-,-,-,2,-
