Name of the Entity,Name of the Counterparty,Nature of Closing Balances,"Period ended
September 30, 2025","Period ended
September 30, 2024","As at
March 31, 2025","As at
March 31, 2024","As at
March 31, 2023"
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Qure.ai Technologies Private Limited,Investments in equity shares in associate,250,250,250,250,250
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Final Mile Consulting Private Limited,"Trade and other receivables including unbilled
receivables",-,1,2,0,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Final Mile Consulting Private Limited,Trade and other payables,-,-,-,-,22
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Final Mile Consulting Private Limited,Investments in equity instruments in subsidiary (assets),-,143,143,143,474
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Final Mile Consulting LLC,"Trade and other receivables including unbilled
receivables",-,32,-,32,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Fractal Analytics UK Limited, UK",Deemed Investment in subsidiary company,417,375,405,342,233
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Fractal Analytics UK Limited, UK","Trade and other receivables including unbilled
receivables",1,1,0,0,0
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Fractal Analytics UK Limited, UK",Trade and other payables,31,6,21,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Fractal Analytics (Canada) Inc,Deemed Investment in subsidiary company,3,1,1,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Fractal Analytics (Canada) Inc,"Trade and other receivables including unbilled
receivables",0,0,0,0,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Fractal Analytics Netherlands B.V,Deemed Investment in subsidiary company,5,-,0,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Fractal Analytics Netherlands B.V,"Trade and other receivables including unbilled
receivables",0,-,0,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Fractal Analytics Australia Pty Limited,Deemed Investment in subsidiary company,3,-,1,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Fractal Analytics Australia Pty Limited,"Trade and other receivables including unbilled
receivables",-,-,0,0,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Fractal Analytics Australia Pty Limited,Trade and other payables,1,-,1,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Fractal Analytics Malaysia SDN BHD,Trade and other payables,-,-,0,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Theremin AI Solutions Private Limited,"Impairment provision for investment in equity
instruments in subsidiary",-,100,153,100,100
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Theremin AI Solutions Private Limited,"Provision for Impairment of trade, unbilled and other
receivables",-,20,-,25,24
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Theremin AI Solutions Private Limited,"Impairment provision for investment in preference shares
in subsidiary",-,53,-,53,53
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Theremin AI Solutions Private Limited,"Impairment provision for deemed investment in
subsidiaries",-,2,2,2,2
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Theremin AI Solutions Private Limited,Deemed Investment in subsidiary company,-,2,2,2,2
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Theremin AI Solutions Private Limited,"Trade and other receivables including unbilled
receivables",-,20,-,25,24
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Theremin AI Solutions Private Limited,Investments in preference shares in subsidiary,-,53,-,53,53
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Theremin AI Solutions Private Limited,Investments in equity instruments in subsidiary (assets),-,100,153,100,100
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Eugenie Technologies Private Limited,"Provision for Impairment of trade, unbilled and other
receivables",-,53,-,53,46
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Eugenie Technologies Private Limited,Provision for Impairment of equity investment,-,1,1,1,1
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Eugenie Technologies Private Limited,"Impairment provision for investment in compulsory
convertible debentures",-,-,-,-,92
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Eugenie Technologies Private Limited,Provision for impairment on inter corporate loan,-,-,-,-,10
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Eugenie Technologies Private Limited,Investment in 0.1% compulsory convertible debentures,-,-,-,-,92
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Eugenie Technologies Private Limited,Inter-corporate loan/advances given,-,-,-,-,10
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Eugenie Technologies Private Limited,Interest receivable,-,-,-,0,0
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Eugenie Technologies Private Limited,"Trade and other receivables including unbilled
receivables",-,53,0,53,47
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Eugenie Technologies Private Limited,Investments in equity instruments in subsidiary (assets),-,1,1,1,1
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Asper.AI Technologies Private Limited (Formerly
known as Samya.AI Technologies Private Limited)","Trade and other receivables including unbilled
receivables",111,31,62,78,11
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Asper.AI Technologies Private Limited (Formerly
known as Samya.AI Technologies Private Limited)",Trade and other payables,1,0,-,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Asper.AI Technologies Private Limited (Formerly
known as Samya.AI Technologies Private Limited)",Investments in equity instruments in subsidiary (assets),-,-,-,-,121
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Asper.AI Inc (Formerly known as Samya.AI Inc),"Trade and other receivables including unbilled
receivables",0,-,-,-,-
"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Asper.AI Limited,UK (Formerly known as
Samya.AI Limited)",Trade and other payables,-,1,0,-,-
