Name of the Entity,Name of the Counterparty,Nature of Closing Balances,"Period ended
September 30, 2025","Period ended
September 30, 2024","As at
March 31, 2025","As at
March 31, 2024","As at
March 31, 2023"
"Fractal Analytics Inc, USA",Cuddle Artificial Intelligence Private Limited,"Trade and other receivables including unbilled
receivables",-,-,-,-,35
"Fractal Analytics Inc, USA","Cuddle.ai Inc, USA","Provision for Impairment of trade, unbilled and other
receivables",-,-,-,-,259
"Fractal Analytics Inc, USA","Cuddle.ai Inc, USA",Provision for impairment on inter corporate loan,-,-,-,-,146
"Fractal Analytics Inc, USA","Cuddle.ai Inc, USA",Inter-corporate loan/advances given,-,-,-,-,146
"Fractal Analytics Inc, USA","Cuddle.ai Inc, USA","Trade and other receivables including unbilled
receivables",-,-,-,-,259
"Fractal Analytics Inc, USA",Qure Technologies Inc.,"Trade and other receivables including unbilled
receivables",-,1,-,5,-
"Fractal Analytics Inc, USA",Final Mile Consulting LLC,"Trade and other receivables including unbilled
receivables",336,338,343,341,356
"Fractal Analytics Inc, USA",Final Mile Consulting LLC,Investments in equity instruments in subsidiary (assets),9,9,9,9,-
"Fractal Analytics Inc, USA","Fractal Analytics UK Limited, UK",Trade and other payables,740,554,603,455,270
"Fractal Analytics Inc, USA","Fractal Analytics UK Limited, UK",Investment in common stock,0,0,0,0,0
"Fractal Analytics Inc, USA","4i Consulting, Inc","Trade and other receivables including unbilled
receivables",-,-,-,-,409
"Fractal Analytics Inc, USA","4i Consulting, Inc",Investment in common stock,-,-,-,-,367
"Fractal Analytics Inc, USA",Fractal Analytics (Canada) Inc,"Trade and other receivables including unbilled
receivables",-,-,0,-,-
"Fractal Analytics Inc, USA",Fractal Analytics (Canada) Inc,Trade and other payables,121,127,115,137,39
"Fractal Analytics Inc, USA",Fractal Analytics (Switzerland) GmbH,Trade and other payables,28,22,24,16,2
"Fractal Analytics Inc, USA",Fractal Analytics Germany GmbH,Trade and other payables,13,12,15,10,13
"Fractal Analytics Inc, USA",Fractal Analytics Netherlands B.V,Trade and other payables,31,19,27,17,14
"Fractal Analytics Inc, USA",Limited Liability Company Symphony (Ukraine),Trade and other payables,34,30,30,26,-
"Fractal Analytics Inc, USA",Fractal Analytics Australia Pty Limited,Trade and other payables,-,17,-4,104,50
"Fractal Analytics Inc, USA",Fractal Analytics Malaysia SDN BHD,Trade and other payables,-,-,-,-,0
"Fractal Analytics Inc, USA",Fractal Analytics Malaysia SDN BHD,Advance to vendors,-,1,-,1,-
"Fractal Analytics Inc, USA",Fractal Analytics (Shanghai) Ltd,Trade and other payables,11,13,11,12,8
"Fractal Analytics Inc, USA",Fractal Analytics Sweden AB,Trade and other payables,-,0,-,1,0
"Fractal Analytics Inc, USA",Eugenie Technologies Private Limited,Provision for doubtful receivables and loans,-,-,-,-,2
"Fractal Analytics Inc, USA",Eugenie Technologies Private Limited,"Trade and other receivables including unbilled
receivables",-,-,-,-,1
"Fractal Analytics Inc, USA",Eugenie.ai Inc,"Provision for Impairment of trade, unbilled and other
receivables",-,96,-,96,71
"Fractal Analytics Inc, USA",Eugenie.ai Inc,Provision for impairment on inter corporate loan,-,276,-,258,103
