Name of the Entity,Name of the Counterparty,Nature of Closing Balances,"Period ended
September 30, 2025","Period ended
September 30, 2024","As at
March 31, 2025","As at
March 31, 2024","As at
March 31, 2023"
Fractal Analytics (Canada) Inc,Neal Analytics LLC,"Trade and other receivables including unbilled
receivables",-,-,-,-,5
Fractal Analytics (Switzerland) GmbH,"Fractal Analytics Inc, USA","Trade and other receivables including unbilled
receivables",28,22,24,16,3
Fractal Analytics Germany GmbH,"Fractal Analytics Inc, USA","Trade and other receivables including unbilled
receivables",13,12,15,10,13
Fractal Analytics Netherlands B.V,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Capital Contribution(ESOP),5,-,0,-,-
Fractal Analytics Netherlands B.V,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Trade and other payables,0,-,0,-,-
Fractal Analytics Netherlands B.V,"Fractal Analytics Inc, USA","Trade and other receivables including unbilled
receivables",31,19,27,17,14
Limited Liability Company Symphony (Ukraine),"Fractal Analytics Inc, USA","Trade and other receivables including unbilled
receivables",34,29,30,26,-
Limited Liability Company Symphony (Ukraine),"4i Consulting, Inc","Trade and other receivables including unbilled
receivables",-,-,-,-,21
Fractal Analytics Australia Pty Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Capital Contribution(ESOP),3,-,1,-,-
Fractal Analytics Australia Pty Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Trade and other receivables including unbilled
receivables",1,-,1,-,-
Fractal Analytics Australia Pty Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Trade and other payables,-,-,0,0,-
Fractal Analytics Australia Pty Limited,"Fractal Analytics Inc, USA","Trade and other receivables including unbilled
receivables",-,18,-4,104,50
Fractal Analytics Australia Pty Limited,Senseforth AI Research Private Limited,Trade and other payables,-,0,-,3,-
Fractal Analytics Australia Pty Limited,"Senseforth, Inc",Trade and other payables,-,-,-,-,2
Fractal Analytics Australia Pty Limited,"Senseforth, Inc","Trade and other receivables including unbilled
receivables",-,-,-,-,2
Fractal Analytics Malaysia SDN BHD,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Trade and other receivables including unbilled
receivables",-,-,0,-,-
Fractal Analytics Malaysia SDN BHD,"Fractal Analytics Inc, USA","Trade and other receivables including unbilled
receivables",-,-,-,-,0
Fractal Analytics Malaysia SDN BHD,"Fractal Analytics Inc, USA",Advance from customers,-,1,-,1,-
Fractal Analytics (Shanghai) Ltd,"Fractal Analytics Inc, USA","Trade and other receivables including unbilled
receivables",11,14,11,12,8
Fractal Analytics Sweden AB,"Fractal Analytics Inc, USA","Trade and other receivables including unbilled
receivables",-,0,-,1,0
Theremin AI Solutions Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Deemed capital contribution,-,2,2,2,2
Theremin AI Solutions Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Trade and other payables,-,20,-,25,24
Theremin AI Solutions Private Limited,Theremin Multi Strategy Fund LLP,Investments in equity instruments in subsidiary (assets),-,0,-,0,0
Eugenie Technologies Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Borrowings (Debentures),-,-,-,-,92
Eugenie Technologies Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Inter corporate loan/advances taken,-,-,-,-,10
Eugenie Technologies Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Interest accrued and but not due(payable),-,-,-,0,0
Eugenie Technologies Private Limited,"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Trade and other payables,-,53,0,53,47
Eugenie Technologies Private Limited,"Fractal Analytics Inc, USA",Trade and other payables,-,-,-,-,1
Eugenie Technologies Private Limited,Qure.ai Technologies Private Limited,Trade and other payables,-,-,-,1,1
Eugenie Technologies Private Limited,Eugenie.ai Inc,"Trade and other receivables including unbilled
receivables",-,12,0,23,102
Eugenie.ai Inc,"Fractal Analytics Inc, USA",Inter corporate loan/advances taken,-,276,-,258,103
Eugenie.ai Inc,"Fractal Analytics Inc, USA",Trade and other payables,-,96,-,96,71
Eugenie.ai Inc,"Fractal Analytics Inc, USA",Deemed capital contribution,282,-,282,-,-
Eugenie.ai Inc,Eugenie Technologies Private Limited,Trade and other payables,-,12,0,23,102
"Asper.AI Technologies Private Limited (Formerly
known as Samya.AI Technologies Private Limited)","Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Trade and other payables,111,31,62,78,11
"Asper.AI Technologies Private Limited (Formerly
known as Samya.AI Technologies Private Limited)","Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)","Trade and other receivables including unbilled
receivables",1,0,0,-,-
"Asper.AI Technologies Private Limited (Formerly
known as Samya.AI Technologies Private Limited)",Asper.AI Inc (Formerly known as Samya.AI Inc),Capital Contribution(ESOP),2,1,2,1,-
"Asper.AI Technologies Private Limited (Formerly
known as Samya.AI Technologies Private Limited)",Asper.AI Inc (Formerly known as Samya.AI Inc),"Trade and other receivables including unbilled
receivables",338,185,262,214,134
"Asper.AI Technologies Private Limited (Formerly
known as Samya.AI Technologies Private Limited)",Asper.AI Inc (Formerly known as Samya.AI Inc),Trade and other payables,20,-,13,-,-
Asper.AI Inc (Formerly known as Samya.AI Inc),"Fractal Analytics Limited (Formerly known as
Fractal Analytics Private Limited)",Trade and other payables,0,-,-,-,-
Asper.AI Inc (Formerly known as Samya.AI Inc),"Fractal Analytics Inc, USA",Trade and other payables,50,59,7,47,77
Asper.AI Inc (Formerly known as Samya.AI Inc),"Fractal Analytics Inc, USA","Trade and other receivables including unbilled
receivables",-,8,7,19,-
Asper.AI Inc (Formerly known as Samya.AI Inc),"4i Consulting, Inc",Trade and other payables,-,-,-,-,1
Asper.AI Inc (Formerly known as Samya.AI Inc),"Asper.AI Technologies Private Limited (Formerly
known as Samya.AI Technologies Private Limited)",Deemed Investment in subsidiary company,2,1,2,1,-
Asper.AI Inc (Formerly known as Samya.AI Inc),"Asper.AI Technologies Private Limited (Formerly
known as Samya.AI Technologies Private Limited)","Trade and other receivables including unbilled
receivables",20,-,13,-,-
Asper.AI Inc (Formerly known as Samya.AI Inc),"Asper.AI Technologies Private Limited (Formerly
known as Samya.AI Technologies Private Limited)",Trade and other payables,338,189,262,214,134
Asper.AI Inc (Formerly known as Samya.AI Inc),"Asper.AI Technologies Private Limited (Formerly
known as Samya.AI Technologies Private Limited)",Investment in common stock,142,140,142,139,-
