"Sr.
No.",Name of the Company (on behalf of),Name of the Company (given by),In favour of,"As at
30th September, 2025","As at
30th September, 2024","As at
31st March, 2025","As at
31st March, 2024","As at
31st March, 2023"
1,CMES Power 1 Private Limited,Clean Max Enviro Energy Solutions Limited,State Bank of India,320.56,3 64.51,341.11,372.31,400.01
2,Clean Max IPP 1 Private Limited,Clean Max Enviro Energy Solutions Limited,State Bank of India,210.24,2 41.52,226.31,290.90,356.06
3,Clean Max IPP 1 Private Limited,Clean Max Enviro Energy Solutions Limited,State Bank of India,359.48,4 10.06,385.44,522.83,603.59
4,Clean Max IPP 1 Private Limited,Clean Max Enviro Energy Solutions Limited,State Bank of India,700.27,7 68.05,735.78,809.90,932.42
5,Clean Max IPP 1 Private Limited,Clean Max Enviro Energy Solutions Limited,State Bank of India,74.10,8 1.25,77.70,85.02,91.82
6,CMES Infinity Private Limited,Clean Max Enviro Energy Solutions Limited,NIIF Infrastructure Finance Limited,447.38,4 83.55,466.02,5 11.99,545.26
7,Clean Max Pluto Solar Power LLP,Clean Max Enviro Energy Solutions Limited,NIIF Infrastructure Finance Limited,583.15,6 41.67,616.97,702.67,749.43
8,Clean Max Deneb Power LLP,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,-,3 13.01,306.62,319.40,-
9,Clean Max Deneb Power LLP,Clean Max Enviro Energy Solutions Limited,TATA Capital Finance Service Limited,-,-,-,-,87.25
10,Clean Max Deneb Power LLP,Clean Max Enviro Energy Solutions Limited,TATA Clean Tech Capital Private Limited,-,-,-,-,9.79
11,Clean Max Deneb Power LLP,Clean Max Enviro Energy Solutions Limited,India Infra Debt,-,-,-,-,184.29
12,Clean Max Vega Power LLP,Clean Max Enviro Energy Solutions Limited,India Infra Debt,-,2 68.77,258.39,279.14,298.58
13,Clean Max Vega Power LLP,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,-,6 10.30,602.06,-,-
14,Clean Max Vega Power LLP,Clean Max Enviro Energy Solutions Limited,TATA Capital Finance Service Limited,-,-,-,-,604.01
15,Clean Max Vega Power LLP,Clean Max Enviro Energy Solutions Limited,TATA Clean Tech Capital Private Limited,-,-,-,-,9.77
16,Clean Max Power 3 LLP,Clean Max Enviro Energy Solutions Limited,NIIF Infrastructure Finance Limited,"1,264.22","1,370.45","1,337.94","1,427.47","1,513.02"
17,Clean Max Power 3 LLP,Clean Max Enviro Energy Solutions Limited,TATA Clean Tech Capital Private Limited,-,-,-,-,822.40
18,Clean Max Power 3 LLP,Clean Max Enviro Energy Solutions Limited,TATA Capital Finance Service Limited,-,-,-,-,148.60
19,Clean Max Scorpius Private Limited,Clean Max Enviro Energy Solutions Limited,Aseem Infrastructure Finance Limited,-,8 83.90,-,908.01,964.45
20,Clean Max Scorpius Private Limited,Clean Max Enviro Energy Solutions Limited,Aseem Infrastructure Finance Limited,-,4 14.57,-,426.68,454.18
21,Clean Max Scorpius Private Limited,Clean Max Enviro Energy Solutions Limited,Aseem Infrastructure Finance Limited,-,4 08.60,-,415.75,-
22,Clean Max Scorpius Private Limited,Clean Max Enviro Energy Solutions Limited,Aseem Infrastructure Finance Limited,-,4 04.43,-,376.13,-
23,Clean Max Cogen Solutions Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,12.67,1 5.60,13.35,1 6.29,-
24,Clean Max Cogen Solutions Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,15.68,1 7.47,16.44,1 8.23,-
