"Sr.
No.",From,To,"As at
30th September, 2025","As at
30th September, 2024","As at
31st March, 2025","As at
31st March, 2024","As at
31st March, 2023"
38,Clean Max Enviro Energy Solutions Limited,CMES Infinity Private Limited,-,-,0.01,0.01,2.48
39,Clean Max Enviro Energy Solutions Limited,Downing Gridco Private Limited,-,14.71,14.43,12.84,-
40,Clean Max Enviro Energy Solutions Limited,Clean Max Surya Energy Private Limited,-,146.42,83.76,54.06,16.88
41,Clean Max Enviro Energy Solutions Limited,Clean Max Aditya Power Private Limited,1.25,1.24,1.25,0.87,(0.03)
42,Clean Max Enviro Energy Solutions Limited,Clean Max Scorpius Private Limited,-,69.80,11.87,15.45,4.78
43,Clean Max Enviro Energy Solutions Limited,Clean Max Vent Power Private Limited,-,4.39,10.62,2.97,166.31
44,Clean Max Enviro Energy Solutions Limited,Clean Max Sphere Energy Private Limited,-,0.21,0.27,0.14,0.09
45,Clean Max Enviro Energy Solutions Limited,Clean Max Bhoomi Private Limited,-,35.04,56.49,11.06,0.00*
46,Clean Max Enviro Energy Solutions Limited,Clean Max Khanak Private Limited,-,0.02,2.53,-,6.00
47,Clean Max Enviro Energy Solutions Limited,Clean Max Vayu Private Limited,-,492.22,649.68,88.74,33.91
48,Clean Max Enviro Energy Solutions Limited,Clean Max Zeus Private Limited,109.56,104.65,109.56,102.81,19.19
49,Clean Max Enviro Energy Solutions Limited,Clean Max Maximus Private Limited,-,128.05,23.10,25.65,0.00*
50,Clean Max Enviro Energy Solutions Limited,Clean Max Kratos Private Limited,10.2,10.19,10.20,-,29.78
51,Clean Max Enviro Energy Solutions Limited,Clean Max IPP 4 Power Private Limited,-,0.20,0.21,0.05,0.01
52,Clean Max Enviro Energy Solutions Limited,Clean Max Thennal Private Limited,-,50.23,29.04,46.28,0.07
53,Clean Max Enviro Energy Solutions Limited,Clean Max Hybrid 2 Power Private Limited,-,8.24,8.26,3.10,9.28
54,Clean Max Enviro Energy Solutions Limited,Clean Max Dhyuthi Private Limited,-,11.63,11.65,10.81,9.03
55,Clean Max Enviro Energy Solutions Limited,Clean Max Power 4 Private Limited,-,12.11,12.31,0.34,4.62
56,Clean Max Enviro Energy Solutions Limited,Clean Max Rudra Private Limited,-,1.10,1.41,1.44,3.47
57,Clean Max Enviro Energy Solutions Limited,Clean Max Theia Private Limited,136.51,125.50,136.51,149.66,1.60
58,Clean Max Enviro Energy Solutions Limited,Clean Max Plutus Private Limited,-,10.49,1.68,18.11,0.72
59,Clean Max Enviro Energy Solutions Limited,Clean Max Astria Private Limited,-,7.06,7.10,13.57,10.16
60,Clean Max Enviro Energy Solutions Limited,Gadag Power India Private Limited,-,193.09,0.11,37.17,100.77
61,Clean Max Enviro Energy Solutions Limited,Clean Max Matahari Private Limited,-,10.81,5.61,2.21,-
62,Clean Max Enviro Energy Solutions Limited,Clean Max Meridius Private Limited,-,1.05,1.07,6.56,9.30
63,Clean Max Enviro Energy Solutions Limited,Clean Max Thanos Private Limited,-,-,0.02,13.44,0.68
64,Clean Max Enviro Energy Solutions Limited,Clean Max Tav Private Limited,-,6.29,2.11,6.14,1.04
65,Clean Max Enviro Energy Solutions Limited,Clean Max Arnav Private Limited,-,18.44,0.81,11.24,1.07
66,Clean Max Enviro Energy Solutions Limited,Clean Max Decimus Private Limited,-,6.68,10.04,0.14,0.05
67,Clean Max Enviro Energy Solutions Limited,Clean Max Dhruve Private Limited,-,0.42,0.43,0.31,0.07
68,Clean Max Enviro Energy Solutions Limited,Clean Max Ame Private Limited,-,0.13,0.46,0.10,0.03
69,Clean Max Enviro Energy Solutions Limited,Clean Max Kaze Private Limited,-,0.06,0.07,0.06,0.05
70,Clean Max Enviro Energy Solutions Limited,Clean Max Balam Private Limited,-,5.10,8.49,11.16,0.05
71,Clean Max Enviro Energy Solutions Limited,Clean Max Saura Private Limited,-,10.31,9.45,3.94,0.04
72,Clean Max Enviro Energy Solutions Limited,Clean Max Bloom Private Limited,-,0.22,2.43,0.15,0.10
73,Clean Max Enviro Energy Solutions Limited,Clean Max Eliora Private Limited,-,"1,218.75",111.53,12.03,0.10
74,Clean Max Enviro Energy Solutions Limited,Clean Max Genesis Private Limited,54.91,12.80,54.91,-,0.10
75,Clean Max Enviro Energy Solutions Limited,Clean Max Prithvi Private Limited,1.18,14.79,1.11,0.10,0.05
76,Clean Max Enviro Energy Solutions Limited,Clean Max Cads Private Limited,-,0.20,0.39,0.14,0.08
77,Clean Max Enviro Energy Solutions Limited,Clean Max Opus Private Limited,17.02,16.16,17.02,56.27,0.05
78,Clean Max Enviro Energy Solutions Limited,Clean Max Solaris Private Limited,-,11.01,0.01,10.86,0.09
79,Clean Max Enviro Energy Solutions Limited,Clean Max Alchemy Private Limited,-,10.96,0.01,10.83,0.05
80,Clean Max Enviro Energy Solutions Limited,Clean Max Celeste Private Limited,-,4.54,5.37,14.21,0.05
