Name of the Entity,"As at 30th September, 2025",,"As at 30th September, 2024",,"As at 31st March, 2025",,"As at 31st March, 2024",,"As at 31st March, 2023",
,"Net assets, i.e., total assets minus total liabilities",,"Net assets, i.e., total assets minus total liabilities",,"Net assets, i.e., total assets minus total liabilities",,"Net assets, i.e., total assets minus total liabilities",,"Net assets, i.e., total assets minus total
liabilities",
,"As % of consolidated
net assets",Amount,"As % of consolidated net
assets",Amount,"As % of consolidated net
assets",Amount,"As % of consolidated net
assets",Amount,"As % of consolidated
net assets",Amount
Clean Max Alps Private Limited,-,(0.05),-,-,-,0.04,-,-,-,-
Clean Max Andes Private Limited,( 0.01),(1.88),-,-,-,(0.14),-,-,-,-
Clean Max Centaurus Private Limited,0.38,130.50,-,-,-,0.04,-,-,-,-
Clean Max Denali Private Limited,-,(0.64),-,-,-,(0.58),-,-,-,-
Clean Max Draco Private Limited,-,(0.65),-,-,-,0.03,-,-,-,-
Clean Max Everest Private Limited,-,(0.65),-,-,-,(0.59),-,-,-,-
Clean Max Everglades Private Limited,0.69,234.07,-,-,0 .73,234.33,-,-,-,-
Clean Max Ganga Private Limited,1.07,364.67,-,-,-,0.04,-,-,-,-
Clean Max Godavari Private Limited,1.36,462.97,-,-,-,(0.32),-,-,-,-
Clean Max Hydra Private Limited,-,(0.44),-,-,-,0.03,-,-,-,-
Clean Max Indus Private Limited,1.00,340.69,-,-,-,(0.03),-,-,-,-
Clean Max Kanha Private Limited,0.09,32.20,-,-,-,0.04,-,-,-,-
Clean Max Kaveri Private Limited,-,(0.01),-,-,-,(0.01),-,-,-,-
Clean Max Kaziranga Private Limited,-,(0.01),-,-,-,0.03,-,-,-,-
Clean Max Leo Private Limited,0.41,139.26,-,-,0 .44,139.45,-,-,-,-
Clean Max Nirvaan Private Limited,-,(0.55),-,0.04,-,(0.31),-,-,-,-
Clean Max Narmada Private Limited,0.43,147.47,-,-,-,-,-,-,-,-
Clean Max Nile Private Limited,0.09,29.91,-,-,-,0.04,-,-,-,-
Clean Max Olympus Private Limited,-,(0.78),-,-,-,(0.72),-,-,-,-
Clean Max Periyar Private Limited,-,(0.01),-,-,-,0.03,-,-,-,-
Clean Max Sundarban Private Limited,0.21,70.33,-,-,-,0.04,-,-,-,-
Clean Max Tadoba Private Limited,-,(0.64),-,-,-,0.03,-,-,-,-
Clean Max Taurus Private Limited,-,(0.30),-,-,-,0.03,-,-,-,-
Clean Max Yamuna Private Limited,( 0.01),(2.00),-,-,-,0.07,-,-,-,-
Clean Max YellowStone Private Limited,( 0.01),(1.74),-,-,-,(0.32),-,-,-,-
Clean Max Bryce Private Limited,0.64,216.82,-,0.04,-,(0.34),-,-,-,-
