,a. Subsidiary companies/ LLPs,"Principal
place of
business /
country of
incorporation","As at 30th
September,
2025
(%)","As at 30th
September,
2024
(%)","As at 31st
March,
2025
(%)","As at 31st
March,
2024
(%)","As at 31st
March,
2023
(%)"
122,"Clean Max Serengeti Private
Limited",India,74,100,74,-,-
123,Clean Max Jasper Private Limited,India,51,100,51,-,-
124,Clean Max Zion Private Limited,India,74,100,74,-,-
125,"Clean Max Galapagos Private
Limited",India,100,100,100,-,-
126,Clean Max Teton Private Limited,India,74,100,100,-,-
127,Clean Max Bryce Private Limited,India,74,100,74,-,-
128,"Clean Max Nirvaan Private
Limited",India,100,100,100,-,-
129,Clean Max Ekaiva Private Limited,India,51,100,51,-,-
130,"Surya Energy Photo Voltaic India
Private Limited @",India,100,100,100,-,-
131,"Clean Max Yellowstone Private
Limited",India,100,-,100,-,-
132,"Clean Max Godavari Private
Limited",India,74,-,100,-,-
133,"Clean Max Kaziranga Private
Limited",India,100,-,100,-,-
134,Clean Max Everest Private Limited,India,100,-,100,-,-
135,Clean Max Ajanta Private Limited,India,100,-,100,-,-
136,Clean Max Urjit LLP,India,80,-,80,-,-
137,"Clean Max Everglades Private
Limited",India,74,-,74,-,-
138,Clean Max Draco Private Limited,India,100,-,100,-,-
139,Clean Max Denali Private Limited,India,100,-,100,-,-
140,"Clean Max Olympus Private
Limited",India,100,-,100,-,-
141,Clean Max Taurus Private Limited,India,100,-,100,-,-
142,Clean Max Tadoba Private Limited,India,100,-,100,-,-
143,Clean Max Indus Private Limited,India,51,-,51,-,-
144,Clean Max Kaveri Private Limited,India,100,-,100,-,-
145,Clean Max Periyar Private Limited,India,100,-,100,-,-
146,Clean Max Nile Private Limited,India,51,-,100,-,-
147,"Clean Max Sundarban Private
Limited",India,51,-,100,-,-
148,Clean Max Hydra Private Limited,India,51,-,100,-,-
149,Clean Max Ganga Private Limited,India,51,-,100,-,-
150,Clean Max Kanha Private Limited,India,51,-,100,-,-
151,"Clean Max Narmada Private
Limited",India,51,-,100,-,-
152,Clean Max Leo Private Limited,India,74,-,74,-,-
153,"Clean Max Yamuna Private
Limited",India,100,-,100,-,-
154,Clean Max Alps Private Limited,India,100,-,100,-,-
155,Clean Max Andes Private Limited,India,74,-,100,-,-
