"Sr.
No.",Name of the Company (on behalf of),Name of the Company (given by),Nature,"For the six months period
ended 30th September, 2025","For the six months period
ended 30th September, 2024","For the year ended
31st March, 2025","For the year ended
31st March, 2024","For the year ended
31st March, 2023"
1,Clean Max Aditya Power Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,-,-,2 67.92,9 7.84
2,Clean Max Alpha LeaseCo FZCO,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,-,"1 ,940.41",-,"1 ,200.70"
3,Clean Max Ananta Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,2 17.00,2 17.00,-,-
4,Clean Max Arcadia Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,3 19.00,3 19.00,-,-
5,Clean Max Aria Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,235.00,-,8 5.00,-,-
6,Clean Max Arnav Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,-,-,3 99.76,-
7,Clean Max Astral Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,-,1 25.00,-,-
8,Clean Max Astria Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,535.00,1 48.41,1 54.55,1 78.43,-
9,Clean Max Auriga Power LLP,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,-,-,-,3 87.96
10,Clean Max Balam Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,1 02.50,1 02.50,2 20.00,-
11,Clean Max Bhoomi Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,2 0.00,"3 ,717.43","1 ,568.98","2 ,341.02"
12,Clean Max BIAL Renewable Energy Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,8 30.00,"1 ,528.10",-,-
13,Clean Max Calypso Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,3 30.60,3 30.60,-,-
14,Clean Max Celeste Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,2 41.80,2 41.80,-,-
15,Clean Max Charge LLP,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,175.00,1 20.00,1 20.00,1 25.00,-
16,Clean Max Cogen Solutions Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,-,-,-,1 2.36
17,Clean Max Decimus Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,5 4.00,5 4.00,-,-
18,Clean Max Deneb Power LLP,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,-,-,3 19.40,9 9.13
19,Clean Max Dhyuthi Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,2 07.80,2 07.80,7 35.95,3 30.00
20,Clean Max Dos Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,-,1 20.00,-,-
21,Clean Max Eliora Private Limited,Clean Max Enviro Energy Solutions Limited,Corporate Guarantee,-,"2 ,885.20","3 ,378.80",-,-
