,a. Subsidiary companies/ LLPs,"Principal
place of
business /
country of
incorporation","As at 30th
September,
2025
(%)","As at 30th
September,
2024
(%)","As at 31st
March,
2025
(%)","As at 31st
March,
2024
(%)","As at 31st
March,
2023
(%)"
89,Clean Max Ananta Private Limited,India,51,51,51,51,-
90,Clean Max Omni Private Limited,India,74,100,74,100,-
91,"Clean Max Andromeda Private
Limited",India,74,100,100,100,-
92,Clean Max Aurora Private Limited,India,74,100,74,100,-
93,"Clean Max Calypso Private
Limited",India,74,76,74,76,-
94,Clean Max Aero Private Limited,India,74,84,74,100,-
95,Clean Max Gaia Private Limited,India,51,100,100,100,-
96,Clean Max Terra Private Limited,India,74,74,74,74,-
97,Clean Max Infinia Private Limited,India,51,51,51,51,-
98,Clean Max Nova Private Limited,India,74,74,74,100,-
99,Clean Max Beta Private Limited,India,74,100,74,100,-
100,"Clean Max Gamma Private
Limited",India,100,100,100,100,-
101,Clean Max Sirius Private Limited,India,74,74,74,100,-
102,Clean Max Fragma Private Limited,India,74,100,74,100,-
103,"Clean Max BIAL Renewable
Energy Private Limited",India,74,74,74,100,-
104,"Clean Max Magnus Private
Limited",India,51,100,51,100,-
105,"Clean Max Arcadia Private
Limited",India,74,74,74,100,-
106,Clean Max Boreal Private Limited,India,51,51,51,100,-
107,Clean Max Opia Private Limited,India,100,100,74,100,-
108,Clean Max Nabia Private Limited,India,51,51,51,100,-
109,Clean Max Astral Private Limited,India,74,100,74,100,-
110,"Clean Max Sapphire Private
Limited",India,74,100,74,100,-
111,Clean Max Aria Private Limited,India,51,51,51,100,-
112,Clean Max Origo Private Limited,India,74,100,74,100,-
113,Clean Max Delirio Private Limited,India,74,100,74,100,-
114,Clean Max Atlas Private Limited,India,100,100,100,100,-
115,"Clean Max Celestial Private
Limited",India,100,100,100,100,-
116,"Jagalur Green Energy Power
Supply Private Limited",India,100,100,100,-,-
117,Clean Max Prapati Private Limited,India,51,100,51,-,-
118,"Clean Max Patagonia Private
Limited",India,74,100,74,-,-
119,Clean Max Kenai Private Limited,India,100,100,100,-,-
120,"Clean Max Anchorage Private
Limited",India,74,100,74,-,-
121,"Clean Max Yosemite Private
Limited",India,74,100,100,-,-
