"Sr.
No.",From,To,"As at
30th September, 2025","As at
30th September, 2024","As at
31st March, 2025","As at
31st March, 2024","As at
31st March, 2023"
122,Clean Max Enviro Energy Solutions Limited,Clean Max Nirvaan Private Limited,-,-,0.52,-,-
123,Clean Max Enviro Energy Solutions Limited,Surya Energy Photovoltaic Private Limited,-,-,0.01,-,-
124,Clean Max Enviro Energy Solutions Limited,Clean Max Everest Private Limited,-,-,0.74,-,-
125,Clean Max Enviro Energy Solutions Limited,Clean Max Yellowstone Private Limited,-,-,0.26,-,-
126,Clean Max Enviro Energy Solutions Limited,Clean Max Godavari Private Limited,-,-,0.18,-,-
127,Clean Max Enviro Energy Solutions Limited,Clean Max Kaziranga Private Limited,-,-,0.05,-,-
128,Clean Max Enviro Energy Solutions Limited,Clean Max Everglades Private Limited,-,-,4.15,-,-
129,Clean Max Enviro Energy Solutions Limited,Clean Max Draco Private Limited,-,-,0.06,-,-
130,Clean Max Enviro Energy Solutions Limited,Clean Max Denali Private Limited,-,-,0.61,-,-
131,Clean Max Enviro Energy Solutions Limited,Clean Max Olympus Private Limited,-,-,0.78,-,-
132,Clean Max Enviro Energy Solutions Limited,Clean Max Taurus Private Limited,-,-,0.02,-,-
133,Clean Max Enviro Energy Solutions Limited,Clean Max Tadoba Private Limited,0.02,-,0.02,-,-
134,Clean Max Enviro Energy Solutions Limited,Clean Max Indus Private Limited,-,-,0.10,-,-
135,Clean Max Enviro Energy Solutions Limited,Clean Max Kaveri Private Limited,-,-,0.01,-,-
136,Clean Max Enviro Energy Solutions Limited,Clean Max Hydra Private Limited,-,-,0.23,-,-
137,Clean Max Enviro Energy Solutions Limited,Clean Max Leo Private Limited,-,-,0.15,-,-
138,Clean Max Enviro Energy Solutions Limited,Clean Max Alps Private Limited,-,-,0.01,-,-
139,Clean Max Enviro Energy Solutions Limited,Clean Max Andes Private Limited,-,-,0.01,-,-
140,Clean Max Enviro Energy Solutions Limited,Clean Max Centaurus Private Limited,-,-,0.06,-,-
141,Clean Max Enviro Energy Solutions Limited,Clean Max Ganga Private Limited,-,-,0.00*,-,-
142,Clean Max Enviro Energy Solutions Limited,Clean Max Ananta Private Limited,-,22.27,35.74,0.12,-
143,Clean Max Enviro Energy Solutions Limited,Clean Max Andromeda Private Limited,-,0.04,0.14,0.00*,-
144,Clean Max Enviro Energy Solutions Limited,Clean Max Aurora Private Limited,-,0.10,2.44,0.10,-
145,Clean Max Enviro Energy Solutions Limited,Clean Max Beta Private Limited,-,0.38,1.54,0.01,-
146,Clean Max Enviro Energy Solutions Limited,Clean Max Ruby Private Limited,0.07,18.23,15.85,0.10,-
147,Clean Max Enviro Energy Solutions Limited,Clean Max Uno Private Limited,-,0.33,13.73,0.07,-
148,Clean Max Enviro Energy Solutions Limited,Cleanmax Alpha LeaseCo FZCO,0.01,0.01,-,0.01,0.54
149,Clean Max Enviro Energy Solutions Limited,Clean Max Taiyo Private Limited,-,10.01,-,9.16,0.20
150,Clean Max Enviro Energy Solutions Limited,HEM Urja LLP,-,33.21,-,304.78,100.87
151,Clean Max Enviro Energy Solutions Limited,Yashaswa Power LLP,-,0.01,-,9.80,111.97
152,Clean Max Enviro Energy Solutions Limited,Cleanmax Solar Mena FZCO,-,-,-,-,0.01
,,,342.55,"4,933.74","3,164.97","1,856.75","1,208.45"
