,a. Subsidiary companies/ LLPs,"Principal
place of
business /
country of
incorporation","As at 30th
September,
2025
(%)","As at 30th
September,
2024
(%)","As at 31st
March,
2025
(%)","As at 31st
March,
2024
(%)","As at 31st
March,
2023
(%)"
18,"Clean Max Cogen Solutions
Private Limited",India,100,100,100,100,100
19,"Clean Max Energy Ventures
Private Limited",India,100,100,100,100,100
20,"Clean Max Khanak Private
Limited",India,74,74,74,74,74
21,CMES Saturn Private Limited,India,100,100,100,100,100
22,Clean Max Pluto Solar Power LLP,India,74,74,74,74,60
23,Clean Max Vega Power LLP,India,74,74,74,74,66
24,Clean Max Deneb Power LLP,India,74,74,74,74,56
25,Clean Max Scorpius Power LLP,India,74,74,74,74,74
26,Clean Max Auriga Power LLP,India,67,67,67,67,74
27,Clean Max Vital Energy LLP,India,74,74,74,74,74
28,Clean Max Circe Power LLP,India,100,100,100,100,100
29,Clean Max Proclus Energy LLP,India,100,100,100,100,100
30,Clean Max Fusion Power LLP,India,100,100,100,100,100
31,Clean Max Hybrid Power LLP,India,74,74,74,100,100
32,Clean Max Charge LLP,India,74,74,74,74,100
33,"Clean Max Bhoomi Private
Limited",India,100,100,100,100,100
34,"Clean Max Sphere Energy Private
Limited",India,100,100,100,100,100
35,Clean Max Vayu Private Limited,India,80,80,80,80,80
36,Clean Max Suryamukhi LLP,India,100,100,100,100,100
37,Clean Max Regulus Power LLP,India,100,100,100,100,100
38,Clean Max Orion Power LLP,India,74,74,74,74,74
39,Clean Max IPP3 Power LLP,India,100,100,100,100,100
40,Clean Max Light Power LLP,India,74,74,74,74,100
41,Clean Max Venus Power LLP,India,100,100,100,100,100
42,Clean Max Apollo Power LLP,India,100,100,100,100,100
43,Clean Max Zeus Private Limited,India,100,100,100,100,100
44,"Clean Max Maximus Private
Limited",India,100,100,100,100,100
45,Clean Max Kratos Private Limited,India,74,74,74,74,74
46,Yashaswa Power LLP,India,100,100,100,100,100
47,Clean Max Balam Private Limited,India,51,51,51,100,100
48,HET Energy Technology LLP,India,100,100,100,100,100
49,Clean Max Rudra Private Limited,India,74,74,74,74,74
50,"Clean Max IPP 4 Power Private
Limited",India,100,100,100,100,100
51,"Clean Max Thennal Private
Limited",India,73,73,73,74,74
52,Clean Max Theia Private Limited,India,74,74,74,74,74
53,Clean Max Thanos Private Limited,India,74,74,74,74,74
