Name of the Entity,"For the six months period
ended 30th September, 2025",,"For the six months period
ended 30th September, 2024",,"For the year ended
31st March, 2025",,"For the year ended
31st March, 2024",,"For the year ended
31st March, 2023",
,"Net Profit/(Loss), i.e., total incomes minus total
expense",,"Net Profit/(Loss), i.e., total incomes minus total
expense",,"Net Profit/(Loss), i.e., total incomes minus total
expense",,"Net Profit/(Loss), i.e., total incomes minus total
expense",,"Net Profit/(Loss), i.e., total incomes minus total
expense",
,"As % of consolidated net
(profits)/losses",Amount,"As % of consolidated net
(profits)/losses",Amount,"As % of consolidated net
(profits)/losses",Amount,"As % of consolidated net
(profits)/losses",Amount,"As % of consolidated
net (profits)/losses",Amount
Clean Max Celestial Private Limited,2.20,4.19,( 0.12),(0.08),-,-,0.01,( 0.04),-,-
Clean Max Delirio Private Limited,( 0.40),(0.76),( 0.20),(0.13),( 0.12),(0.23),0.02,( 0.08),-,-
Clean Max Fragma Private Limited,0.01,0.02,( 0.05),(0.03),( 0.07),(0.14),0.02,( 0.09),-,-
Clean Max Magnus Private Limited,( 0.11),(0.20),( 0.08),(0.05),( 0.14),(0.27),0.02,( 0.09),-,-
Clean Max Nabia Private Limited,( 0.02),(0.03),( 1.01),(0.66),( 0.71),(1.37),0.02,( 0.08),-,-
Clean Max Opia Private Limited,( 0.02),(0.04),( 0.06),(0.04),( 0.05),(0.10),0.02,( 0.07),-,-
Clean Max Origo Private Limited,0.14,0.26,( 0.12),(0.08),( 0.16),(0.31),0.02,( 0.08),-,-
Clean Max Sapphire Private Limited,( 1.96),(3.72),( 0.06),(0.04),( 3.71),(7.20),0.02,( 0.09),-,-
Clean Max Bial Renewable Energy Private Limited,( 14.51),( 27.58),( 2.81),(1.83),( 6.22),( 12.08),2.16,( 8.13),-,-
Clean Max Calypso Private Limited,( 1.23),(2.34),( 1.99),(1.30),( 1.98),(3.84),0.17,( 0.65),-,-
Clean Max Ananta Private Limited,( 0.80),(1.52),4.65,3.03,( 1.52),(2.95),0.05,( 0.17),-,-
Clean Max Aurora Private Limited,0.67,1.28,( 0.03),(0.02),( 0.07),(0.14),0.03,( 0.10),-,-
Clean Max Andromeda Private Limited,( 0.15),(0.29),( 0.05),(0.03),( 0.10),(0.20),0.03,( 0.11),-,-
Clean Max Beta Private Limited,( 0.36),(0.69),( 0.60),(0.39),( 0.58),(1.13),0.03,( 0.13),-,-
Clean Max Maya Private Limited,1.92,3.65,( 0.87),(0.57),( 0.35),(0.68),0.17,( 0.64),-,-
Clean Max Aero Private Limited,( 0.48),(0.92),( 0.03),(0.02),( 0.11),(0.21),0.05,( 0.17),-,-
Clean Max Gaia Private Limited,( 0.26),(0.50),( 2.82),(1.84),( 1.57),(3.06),0.22,( 0.82),-,-
Clean Max Infinia Private Limited,0.04,0.07,( 0.25),(0.16),( 0.12),(0.24),0.13,( 0.48),-,-
Clean Max Nova Private Limited,( 1.23),(2.33),( 0.09),(0.06),( 0.10),(0.20),0.04,( 0.16),-,-
Clean Max Omni Private Limited,( 0.14),(0.26),( 0.05),(0.03),( 0.11),(0.22),0.10,( 0.39),-,-
Clean Max Sirius Private Limited,1.25,2.37,( 2.26),(1.47),( 0.73),(1.42),0.08,( 0.31),-,-
Downing Gridco Private Limited,( 0.53),(1.00),0.54,0.35,( 0.27),(0.53),1.38,( 5.21),-,-
Clean Max Genesis Private Limited,( 9.99),( 18.98),( 6.84),(4.46),( 7.95),( 15.45),0.58,( 2.17),-,-
Clean Max Cogen Solutions Private Limited,5.23,9.93,9.97,6.50,1 2.58,24.44,(3.94),14.84,(3.44),20.44
Clean Max Energy Ventures Private Limited,0.65,1.24,2.26,1.47,( 1.09),(2.11),1.24,( 4.66),0.13,(0.78)
Clean Max Power Projects Private Limited,9.48,18.02,21.49,14.01,2 8.10,54.60,(15.62),58.8,(7.26),43.19
KAS On Site Power Solutions LLP,21.00,39.91,65.94,42.98,9 1.79,178.33,(28.80),1 08.40,(10.35),61.54
Clean Max IPP 1 Private Limited,23.89,45.41,65.33,42.58,4 2.43,82.43,(13.91),52.38,(8.36),49.70
Clean Max IPP 2 Private Limited,24.37,46.32,57.92,37.75,4 8.36,93.95,(26.05),98.05,(14.28),84.93
Clean Max Mercury Power Private Limited,25.64,48.72,40.15,26.17,4 9.46,96.09,(23.80),8 9.60,(10.89),64.77
Clean Max Photovoltaic Private Limited,14.80,28.12,53.76,35.04,4 7.06,91.44,(20.11),7 5.70,(8.72),51.86
CMES Jupiter Private Limited,( 54.75),( 104.04),34.93,22.77,1 28.92,250.48,(7.03),26.47,3.21,(19.09)
CMES Power 1 Private Limited,3.88,7.38,( 2.04),(1.33),( 6.22),( 12.09),0.22,( 0.81),4.37,(26.00)
CMES Power 2 Private Limited,( 11.32),( 21.51),20.77,13.54,4 .11,7.99,10.47,( 39.41),8.58,(51.01)
KPJ Renewable Power Projects LLP,( 3.15),(5.99),1.52,0.99,0 .97,1.88,1.93,( 7.25),1.24,(7.37)
CMES Infinity Private Limited,2.67,5.07,8.33,5.43,4 .30,8.35,(1.29),4.87,0.79,(4.69)
CMES Animo LLP#,-,-,-,-,-,-,-,-,(0.02),0.13
CMES Rhea LLP#,-,-,-,-,-,-,-,-,(0.02),0.14
CMES Saturn Private Limited,( 0.44),(0.83),( 0.12),(0.08),0 .98,1.90,0.74,( 2.80),0.56,(3.31)
CMES Universe LLP@,-,-,-,-,-,-,-,-,(0.02),0.13
CMES Urja LLP@,-,-,-,-,-,-,-,-,(0.02),0.13
Chitradurga Renewable Energy India Private Limited,( 1.28),(2.43),30.45,19.85,4 .37,8.49,8.26,( 31.10),1.99,(11.81)
Clean Max Solaris Private Limited,( 0.12),(0.22),0.23,0.15,0 .59,1.15,0.92,( 3.46),-,-
Clean Max Uranus Private Limited,2.86,5.43,11.57,7.54,( 7.05),( 13.70),(0.21),0 .80,-,-
Clean Max Uno Private Limited,( 0.33),(0.63),( 0.63),(0.41),( 0.58),(1.13),0.05,( 0.17),-,-
Clean Max Deneb Power LLP,4.21,8.01,1.09,0.71,( 0.47),(0.91),3.07,( 11.56),(1.44),8.55
Clean Max Orion Power LLP,3.23,6.14,9.01,5.87,0 .23,0.45,(0.43),1.61,0.08,(0.47)
Clean Max Pluto Solar Power LLP,16.36,31.10,34.63,22.57,1 9.34,37.57,(8.34),31.41,(1.89),11.22
