"Sr.
No.",Name of the Company (on behalf of),Name of the Company (given by),In favour of,"As at
30th September, 2025","As at
30th September, 2024","As at
31st March, 2025","As at
31st March, 2024","As at
31st March, 2023"
25,Clean Max Cogen Solutions Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Clean Tech Capital Private Limited,-,-,-,-,17.47
26,Clean Max Cogen Solutions Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Clean Tech Capital Private Limited,-,-,-,-,19.56
27,Clean Max Aditya Power Private Limited,Clean Max Enviro Energy Solutions Limited,State Bank of India,444.14,4 77.64,461.14,761.56,535.58
28,Clean Max Aditya Power Private Limited,Clean Max Enviro Energy Solutions Limited,State Bank of India,246.82,2 59.42,252.82,-,-
29,Clean Max Vent Power Private Limited,Clean Max Enviro Energy Solutions Limited,TATA Clean Tech Capital Private Limited,-,-,-,-,"1,067.22"
30,Clean Max Scorpius Power LLP,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,80.25,2 53.24,-,259.23,-
31,Clean Max Scorpius Power LLP,Clean Max Enviro Energy Solutions Limited,TATA Capital Limited,-,1 48.91,-,152.26,-
32,Clean Max Scorpius Power LLP,Clean Max Enviro Energy Solutions Limited,TATA Clean Tech Capital Private Limited,-,-,-,-,847.83
33,Clean Max Scorpius Power LLP,Clean Max Enviro Energy Solutions Limited,TATA Clean Tech Capital Private Limited,-,-,-,-,200.60
34,Clean Max Hyperion Power LLP,Clean Max Enviro Energy Solutions Limited,Aditya Birla Finance Limited,309.93,3 40.10,327.75,352.45,359.65
35,Clean Max Bhoomi Private Limited,Clean Max Enviro Energy Solutions Limited,Aseem Infrastructure Finance Limited,-,"3,297.51","3,232.31","3,362.72","2,341.02"
36,Clean Max Bhoomi Private Limited,Clean Max Enviro Energy Solutions Limited,Aseem Infrastructure Finance Limited,-,4 72.32,465.12,459.62,-
37,Clean Max Bhoomi Private Limited,Clean Max Enviro Energy Solutions Limited,Bank of Baroda,"3,162.71",-,"3,232.31",-,-
38,Clean Max Bhoomi Private Limited,Clean Max Enviro Energy Solutions Limited,Bank of Baroda,456.70,-,465.12,-,-
39,Clean Max Maximus Private Limited,Clean Max Enviro Energy Solutions Limited,Aseem Infrastructure Finance Limited,-,"3,297.51",-,"3,362.72","2,126.22"
40,Clean Max Maximus Private Limited,Clean Max Enviro Energy Solutions Limited,Aseem Infrastructure Finance Limited,-,4 72.32,-,459.55,-
41,Clean Max Maximus Private Limited,Clean Max Enviro Energy Solutions Limited,State Bank of India,"3,664.83",-,"3,713.73",-,-
42,Clean Max Maximus Private Limited,Clean Max Enviro Energy Solutions Limited,State Bank of India,569.30,-,576.90,-,-
43,Clean Max Kratos Private Limited,Clean Max Enviro Energy Solutions Limited,National Bank for Financing Infrastructure,"2,965.51","3,057.02","3,181.97","3,102.00",-
44,Clean Max Kratos Private Limited,Clean Max Enviro Energy Solutions Limited,aNnadti Doneavle Bloapnmke fnotr Financing Infrastructure,167.30,-,-,-,746.50
45,Clean Max Zeus Private Limited,Clean Max Enviro Energy Solutions Limited,aPnodw eDre Fvienloapnmcee Cntorporation Limited,"3,092.13","3,577.74","3,505.96","3,625.60","3,264.50"
46,Clean Max Zeus Private Limited,Clean Max Enviro Energy Solutions Limited,Power Finance Corporation Limited,342.03,-,-,-,-
47,Clean Max Hybrid 2 Power Private Limited,Clean Max Enviro Energy Solutions Limited,Aditya Birla Finance Limited,-,3 48.80,343.02,237.57,-
48,Clean Max Hybrid 2 Power Private Limited,Clean Max Enviro Energy Solutions Limited,Federal Bank Limited,-,3 24.93,319.54,237.57,-
49,Clean Max Hybrid 2 Power Private Limited,Clean Max Enviro Energy Solutions Limited,L&T Infra Debt Fund Limited,-,-,-,-,330.00
