Name of the Entity,"For the six months period
ended 30th September, 2025",,"For the six months period
ended 30th September, 2024",,"For the year ended
31st March, 2025",,"For the year ended
31st March, 2024",,"For the year ended
31st March, 2023",
,"Net Profit/(Loss), i.e., total incomes minus total
expense",,"Net Profit/(Loss), i.e., total incomes minus total
expense",,"Net Profit/(Loss), i.e., total incomes minus total
expense",,"Net Profit/(Loss), i.e., total incomes minus total
expense",,"Net Profit/(Loss), i.e., total incomes minus total
expense",
,"As % of consolidated net
(profits)/losses",Amount,"As % of consolidated net
(profits)/losses",Amount,"As % of consolidated net
(profits)/losses",Amount,"As % of consolidated net
(profits)/losses",Amount,"As % of consolidated
net (profits)/losses",Amount
Clean Max Charge LLP,( 1.97),(3.75),( 26.63),( 17.36),( 6.93),( 13.46),2.44,( 9.19),0.01,(0.05)
Clean Max Actis Energy LLP@,-,-,-,-,-,-,-,-,(0.03),0.16
Clean Max Vital Energy LLP,3.10,5.89,4.54,2.96,3 .11,6.04,(0.90),3 .40,0.40,(2.35)
Clean Max Proclus Energy LLP,( 0.01),(0.01),( 0.02),(0.01),( 0.03),(0.06),0.01,(0.05),0.01,(0.05)
Clean Max Augus Power LLP#,-,-,-,-,-,-,-,-,(0.02),0.11
Clean Max Hyperion Power LLP,4.91,9.34,12.69,8.27,6 .86,13.33,(2.37),8.92,(0.65),3.87
Clean Max Circe Power LLP,( 0.01),(0.01),( 0.02),(0.01),( 0.03),(0.05),0.01,( 0.04),0.01,(0.06)
Clean Max Hybrid Power LLP,( 0.79),(1.51),( 3.22),(2.10),( 1.69),(3.28),0.08,( 0.30),0.01,(0.05)
Clean Max Scorpius Private Limited,23.20,44.09,27.75,18.09,6 .71,13.04,(10.13),38.15,(11.84),70.42
Clean Max Aditya Power Private Limited,4.00,7.61,40.26,26.24,1 0.06,19.54,(5.07),19.08,0.10,(0.59)
Clean Max Vent Power Private Limited,3.01,5.72,16.92,11.03,(11.25),( 21.86),15.39,( 57.95),7.13,(42.43)
Clean Max Khanak Private Limited,4.14,7.86,10.54,6.87,1 .54,3.00,(0.20),0.74,(0.16),0.96
Clean Max Bhoomi Private Limited,( 28.30),( 53.79),( 10.46),(6.82),(51.05),( 99.18),13.33,( 50.17),0.28,(1.67)
Clean Max Gamma Private Limited,( 21.63),( 41.11),( 10.45),(6.81),( 6.06),( 11.77),2.84,( 10.70),-,-
Clean Max Surya Energy Private Limited,( 11.55),( 21.95),( 14.05),(9.16),( 5.06),(9.83),0.64,( 2.40),0.03,(0.15)
Clean Max Sphere Energy Private Limited,( 0.03),(0.05),( 0.08),(0.05),( 0.04),(0.07),0.02,( 0.07),0.01,(0.06)
Clean Max Vayu Private Limited,8.50,16.15,( 9.85),(6.42),( 7.11),( 13.81),3.22,( 12.12),(0.52),3.11
Clean Max Zeus Private Limited,21.88,41.59,48.86,31.85,( 4.17),(8.11),(0.94),3.53,(1.27),7.55
Clean Max Maximus Private Limited,( 5.50),( 10.45),( 64.93),( 42.32),(70.58),( 137.13),18.78,( 70.68),0.28,(1.64)
Clean Max Kratos Private Limited,3.52,6.69,( 11.22),(7.31),(24.43),( 47.47),30.00,( 112.93),1.07,(6.34)
Yashaswa Power LLP,13.95,26.52,32.91,21.45,1 7.90,34.77,(2.07),7.81,0.03,(0.20)
HET Energy Technology LLP,11.53,21.92,23.38,15.24,1 4.81,28.78,(2.46),9.27,0.03,(0.16)
Clean Max Ame Private Limited,( 2.22),(4.22),( 0.08),(0.05),( 0.10),(0.20),0.02,( 0.08),0.02,(0.14)
Clean Max Arnav Private Limited,( 1.12),(2.13),2.75,1.79,( 6.79),( 13.19),6.14,( 23.11),0.04,(0.24)
Clean Max Astria Private Limited,( 0.98),(1.87),5.05,3.29,( 2.75),(5.35),4.68,( 17.62),0.04,(0.23)
Clean Max Balam Private Limited,0.07,0.13,( 0.15),(0.10),( 2.46),(4.78),0.08,( 0.30),0.03,(0.15)
Clean Max Decimus Private Limited,0.56,1.06,( 1.56),(1.02),( 0.48),(0.93),0.03,( 0.11),0.02,(0.14)
Clean Max Dhruve Private Limited,( 0.35),(0.67),( 0.21),(0.14),( 0.01),(0.02),0.06,( 0.22),0.04,(0.23)
Clean Max Dhyuthi Private Limited,7.90,15.02,( 1.23),(0.80),( 5.27),( 10.23),11.56,( 43.51),0.04,(0.25)
Clean Max Hybrid 2 Power Private Limited,8.11,15.42,( 1.49),(0.97),( 5.23),( 10.16),11.04,( 41.56),0.07,(0.41)
Clean Max IPP 4 Power Private Limited,( 0.21),(0.40),( 0.11),(0.07),( 0.06),(0.12),0.03,( 0.10),0.02,(0.10)
Clean Max Kaze Private Limited,( 1.75),(3.33),( 0.14),(0.09),( 0.12),(0.23),0.03,( 0.10),0.04,(0.23)
Clean Max Matahari Private Limited,( 1.35),(2.56),( 1.33),(0.87),( 9.05),( 17.58),2.95,( 11.10),0.04,(0.23)
Clean Max Meridius Private Limited,2.19,4.16,1.21,0.79,( 1.62),(3.15),5.00,( 18.81),0.05,(0.30)
Clean Max Plutus Private Limited,3.95,7.50,6.69,4.36,( 0.03),(0.06),2.08,( 7.82),0.03,(0.15)
Clean Max Power 4 Private Limited,1.49,2.84,1.12,0.73,( 2.88),(5.59),5.11,( 19.24),0.04,(0.26)
Clean Max Rudra Private Limited,( 0.60),(1.14),0.55,0.36,( 2.44),(4.75),5.05,( 19.01),0.04,(0.22)
Clean Max Saura Private Limited,5.38,10.23,0.72,0.47,( 2.89),(5.62),0.85,( 3.20),0.03,(0.15)
Clean Max Taiyo Private Limited,0.16,0.30,( 5.49),(3.58),( 9.53),( 18.52),3.83,( 14.41),0.02,(0.09)
Clean Max Tav Private Limited,2.76,5.24,1.30,0.85,( 3.13),(6.08),3.25,( 12.24),0.03,(0.17)
Clean Max Thanos Private Limited,( 4.84),(9.19),( 8.24),(5.37),( 6.61),( 12.85),5.78,( 21.76),0.05,(0.30)
Clean Max Thennal Private Limited,( 2.29),(4.36),( 2.30),(1.50),( 2.74),(5.32),1.75,( 6.57),0.03,(0.16)
Gadag Power India Private Limited,2.29,4.35,( 0.52),(0.34),1 .57,3.06,0.38,( 1.44),0.01,(0.07)
Clean Max Theia Private Limited,( 19.06),( 36.23),74.33,48.45,(13.05),( 25.35),20.99,( 79.02),0.15,(0.88)
Clean Max Solaris Private Limited,( 0.12),(0.22),0.23,0.15,0 .59,1.15,0.92,( 3.46),-,-
