Name of the Entity,"For the six months period
ended 30th September, 2025",,"For the six months period
ended 30th September, 2024",,"For the year ended
31st March, 2025",,"For the year ended
31st March, 2024",,"For the year ended
31st March, 2023",
,"Net Profit/(Loss), i.e., total incomes minus total
expense",,"Net Profit/(Loss), i.e., total incomes minus total
expense",,"Net Profit/(Loss), i.e., total incomes minus total
expense",,"Net Profit/(Loss), i.e., total incomes minus total
expense",,"Net Profit/(Loss), i.e., total incomes minus total
expense",
,"As % of consolidated net
(profits)/losses",Amount,"As % of consolidated net
(profits)/losses",Amount,"As % of consolidated net
(profits)/losses",Amount,"As % of consolidated net
(profits)/losses",Amount,"As % of consolidated
net (profits)/losses",Amount
Clean Max Kaziranga Private Limited,( 0.02),(0.04),-,-,( 0.04),(0.07),-,-,-,-
Clean Max Leo Private Limited,( 0.11),(0.20),-,-,( 0.08),(0.16),-,-,-,-
Clean Max Nirvaan Private Limited,( 0.14),(0.26),( 0.09),(0.06),( 0.21),(0.41),-,-,-,-
Clean Max Narmada Private Limited,( 0.32),(0.60),-,-,( 0.05),(0.10),-,-,-,-
Clean Max Nile Private Limited,( 0.41),(0.77),-,-,( 0.03),(0.06),-,-,-,-
Clean Max Olympus Private Limited,( 0.03),(0.06),-,-,( 0.42),(0.82),-,-,-,-
Clean Max Periyar Private Limited,( 0.02),(0.04),-,-,( 0.04),(0.07),-,-,-,-
Clean Max Sundarban Private Limited,( 0.01),(0.01),-,-,( 0.03),(0.06),-,-,-,-
Clean Max Tadoba Private Limited,( 0.35),(0.67),-,-,( 0.04),(0.07),-,-,-,-
Clean Max Taurus Private Limited,( 0.17),(0.33),-,-,( 0.04),(0.07),-,-,-,-
Clean Max Yamuna Private Limited,( 1.08),(2.06),-,-,( 0.02),(0.03),-,-,-,-
Clean Max Yellowstone Private Limited,( 0.75),(1.42),-,-,( 0.22),(0.42),-,-,-,-
Clean Max Bryce Private Limited,( 1.75),(3.32),( 0.09),(0.06),( 0.23),(0.44),-,-,-,-
Clean Max Galapagos Private Limited,( 0.23),(0.43),( 0.12),(0.08),( 0.20),(0.39),-,-,-,-
Clean Max Teton Private Limited,( 4.53),(8.61),( 0.09),(0.06),( 0.07),(0.14),-,-,-,-
Clean Max Urjit LLP,0.62,1.18,( 0.18),(0.12),( 0.57),(1.11),-,-,-,-
Clean Max Ekaiva Private Limited,( 0.23),(0.44),( 0.15),(0.10),( 0.12),(0.24),-,-,-,-
Jagalur Green Energy Power Supply Private Limited,( 0.03),(0.06),( 0.38),(0.25),( 0.25),(0.49),-,-,-,-
Clean Max Jasper Private Limited,( 0.62),(1.17),( 0.20),(0.13),( 0.15),(0.29),-,-,-,-
Clean Max Anchorage Private Limited,3.75,7.12,( 0.20),(0.13),( 0.14),(0.28),-,-,-,-
Clean Max Kenai Private Limited,( 0.02),(0.04),( 0.20),(0.13),( 0.09),(0.17),-,-,-,-
Clean Max Yosemite Private Limited,7.36,13.98,( 0.17),(0.11),( 0.13),(0.25),-,-,-,-
Clean Max Prapati Private limited,( 0.18),(0.35),( 0.20),(0.13),( 0.14),(0.27),-,-,-,-
Clean Max Serengeti Private Limited,( 2.09),(3.97),( 0.20),(0.13),( 0.34),(0.66),-,-,-,-
Clean Max Zion Private limited,0.37,0.71,( 0.20),(0.13),( 1.99),(3.86),-,-,-,-
Clean Max Patagonia Private limited,( 4.24),(8.06),( 0.20),(0.13),( 0.37),(0.71),-,-,-,-
Surya Energy Photo Voltaic India Private Limited,( 0.25),(0.48),-,-,8 8.45,171.85,-,-,-,-
VEH Green Energy Private Limited,( 0.91),(1.73),-,-,( 0.48),(0.93),-,-,-,-
Clean Max Nevada Private Limited,( 0.16),(0.30),-,-,-,-,-,-,-,-
Clean Max Tasman Private Limited,0.35,0.67,-,-,-,-,-,-,-,-
Clean Max Banff Private Limited,( 0.53),(1.01),-,-,-,-,-,-,-,-
Clean Max Kruger Private Limited,( 0.12),(0.22),-,-,-,-,-,-,-,-
Clean Max Pacific Private Limited,( 0.05),(0.10),-,-,-,-,-,-,-,-
Clean Max Polar Private Limited,( 0.03),(0.06),-,-,-,-,-,-,-,-
Clean Max Sierra Private Limited,( 0.05),(0.10),-,-,-,-,-,-,-,-
Clean Max Solomon Private Limited,( 0.03),(0.05),-,-,-,-,-,-,-,-
Clean Max Atlantic Private Limited,( 0.05),(0.10),-,-,-,-,-,-,-,-
Clean Max Tahoe Private Limited,( 0.35),(0.66),-,-,-,-,-,-,-,-
Clean Max Albatross Private Limited,( 0.04),(0.07),-,-,-,-,-,-,-,-
Clean Max Solstice Private Limited,( 0.38),(0.72),-,-,-,-,-,-,-,-
Clean Max Karakoram Private Limited,( 0.03),(0.06),-,-,-,-,-,-,-,-
Clean Max Adriatic Private Limited,( 0.03),(0.05),-,-,-,-,-,-,-,-
Clean Max Arctic Private Limited,( 0.05),(0.10),-,-,-,-,-,-,-,-
Clean Max Amalfi Private Limited,( 0.05),(0.10),-,-,-,-,-,-,-,-
Clean Max Petra Private Limited,( 0.30),(0.57),-,-,-,-,-,-,-,-
Clean Max Kilimanjaro Private Limited,( 0.05),(0.10),-,-,-,-,-,-,-,-
Clean Max Fuji Private Limited,( 0.05),(0.10),-,-,-,-,-,-,-,-
Clean Max Iguazu Private Limited,( 0.05),(0.10),-,-,-,-,-,-,-,-
Clean Max Azores Private Limited,( 0.35),(0.67),-,-,-,-,-,-,-,-
Clean Max Lapland Private Limited,( 0.02),(0.04),-,-,-,-,-,-,-,-
Clean Max Louise Private Limited,( 0.03),(0.05),-,-,-,-,-,-,-,-
Clean Max Como Private Limited,( 0.03),(0.05),-,-,-,-,-,-,-,-
Clean Max Laguna Private Limited,( 0.03),(0.05),-,-,-,-,-,-,-,-
Clean Max Peyto Private Limited,( 0.35),(0.67),-,-,-,-,-,-,-,-
Clean Max Moraine Private Limited,( 0.03),(0.05),-,-,-,-,-,-,-,-
Clean Max Emerald Private Limited,( 0.03),(0.06),-,-,-,-,-,-,-,-
Clean Max Victoria Private Limited,( 0.03),(0.06),-,-,-,-,-,-,-,-
Clean Max Ahar Private Limited,( 0.04),(0.07),-,-,-,-,-,-,-,-
Clean Max Aranyam Private Limited,( 0.04),(0.07),-,-,-,-,-,-,-,-
Clean Max Hana Private Limited,( 0.03),(0.05),-,-,-,-,-,-,-,-
