"Sr.
No.",From,To,"As at
30th September, 2025","As at
30th September, 2024","As at
31st March, 2025","As at
31st March, 2024","As at
31st March, 2023"
81,Clean Max Enviro Energy Solutions Limited,Clean Max Galaxy Private Limited,-,0.14,0.17,0.11,0.09
82,Clean Max Enviro Energy Solutions Limited,Clean Max Mirage Private Limited,-,18.15,47.58,23.23,0.05
83,Clean Max Enviro Energy Solutions Limited,Clean Max Dos Private Limited,-,6.88,20.80,0.06,0.05
84,Clean Max Enviro Energy Solutions Limited,Clean Max Uranus Private Limited,-,30.13,44.59,15.19,0.05
85,Clean Max Enviro Energy Solutions Limited,Clean Max Calypso Private Limited,-,36.49,56.27,0.17,-
86,Clean Max Enviro Energy Solutions Limited,Clean Max Gamma Private Limited,-,31.02,296.17,25.49,-
87,Clean Max Enviro Energy Solutions Limited,Clean Max Maya Private Limited,-,19.54,31.81,0.05,-
88,Clean Max Enviro Energy Solutions Limited,Clean Max Omni Private Limited,-,0.29,6.33,0.17,-
89,Clean Max Enviro Energy Solutions Limited,Clean Max Terra Private Limited,-,587.89,60.12,11.06,-
90,Clean Max Enviro Energy Solutions Limited,Clean Max Infinia Private Limited,-,11.69,17.21,0.05,-
91,Clean Max Enviro Energy Solutions Limited,Clean Max Gaia Private Limited,-,0.96,0.98,0.30,-
92,Clean Max Enviro Energy Solutions Limited,Clean Max Nova Private Limited,-,0.13,5.54,0.04,-
93,Clean Max Enviro Energy Solutions Limited,Clean Max Aero Private Limited,-,0.08,54.47,0.05,-
94,Clean Max Enviro Energy Solutions Limited,Clean Max Sirius Private Limited,-,15.69,24.70,0.05,-
95,Clean Max Enviro Energy Solutions Limited,Clean Max Fragma Private Limited,-,0.03,1.79,-,-
96,Clean Max Enviro Energy Solutions Limited,"Clean Max BIAL Renewable Energy Private
Limited",-,60.47,38.45,8.06,-
97,Clean Max Enviro Energy Solutions Limited,Clean Max Magnus Private Limited,-,0.08,0.23,-,-
98,Clean Max Enviro Energy Solutions Limited,Clean Max Arcadia Private Limited,-,30.74,49.38,-,-
99,Clean Max Enviro Energy Solutions Limited,Clean Max Boreal Private Limited,-,0.05,0.91,-,-
100,Clean Max Enviro Energy Solutions Limited,Clean Max Opia Private Limited,-,0.05,0.06,-,-
101,Clean Max Enviro Energy Solutions Limited,Clean Max Nabia Private Limited,-,0.04,20.41,-,-
102,Clean Max Enviro Energy Solutions Limited,Clean Max Astral Private Limited,-,0.05,37.30,-,-
103,Clean Max Enviro Energy Solutions Limited,Clean Max Sapphire Private Limited,-,0.03,81.10,-,-
104,Clean Max Enviro Energy Solutions Limited,Clean Max Aria Private Limited,-,0.02,4.13,-,-
105,Clean Max Enviro Energy Solutions Limited,Clean Max Origo Private Limited,-,0.04,8.36,-,-
106,Clean Max Enviro Energy Solutions Limited,Clean Max Delirio Private Limited,-,0.04,0.21,-,-
107,Clean Max Enviro Energy Solutions Limited,Clean Max Atlas Private Limited,-,0.03,1.55,-,-
108,Clean Max Enviro Energy Solutions Limited,Clean Max Celestial Private Limited,-,0.03,29.26,-,-
109,Clean Max Enviro Energy Solutions Limited,Clean Max Jasper Private Limited,-,-,0.28,-,-
110,Clean Max Enviro Energy Solutions Limited,Clean Max Anchorage Private Limited,-,-,3.06,-,-
111,Clean Max Enviro Energy Solutions Limited,Clean Max Kenai Private Limited,-,-,0.19,-,-
112,Clean Max Enviro Energy Solutions Limited,Clean Max Serengeti Private Limited,-,-,50.26,-,-
113,Clean Max Enviro Energy Solutions Limited,Clean Max Zion Private Limited,-,-,5.95,-,-
114,Clean Max Enviro Energy Solutions Limited,Clean Max Galapagos Private Limited,-,-,0.12,-,-
115,Clean Max Enviro Energy Solutions Limited,Clean Max Patagonia Private Limited,-,-,171.32,-,-
116,Clean Max Enviro Energy Solutions Limited,Jagalur Green Energy Power Supply Private Limited,-,-,0.38,-,-
117,Clean Max Enviro Energy Solutions Limited,Clean Max Bryce Private Limited,-,-,37.11,-,-
118,Clean Max Enviro Energy Solutions Limited,Clean Max Teton Private Limited,-,-,0.06,-,-
119,Clean Max Enviro Energy Solutions Limited,Clean Max Ekaiva Private Limited,-,-,0.08,-,-
120,Clean Max Enviro Energy Solutions Limited,Clean Max Prapati Private Limited,-,-,0.19,-,-
121,Clean Max Enviro Energy Solutions Limited,Clean Max Yosemite Private Limited,-,-,9.21,-,-
