"KSH International Limited (formerly known as KSH International Private Limited)
Annexure V - Notes forming part of Restated Financial Statements
All amounts in INR Millions
Note 39: Revenue from contracts with customers
The Company is engaged in Supply of Insulated Rectangular & Round Winding wires and Continuously Transposed
Conductors Trade receivables are non-interest bearing and generally on terms of 60 to 180 days.
The Company determines revenue recognition through the following steps:
1. Identification of the contract, or contracts, with a customer.
2. Identification of the performance obligations in the contract.
3. Determination of the transaction price.
4. Allocation of the transaction price to the performance obligations in the contract.
5. Recognition of revenue when, or as, we satisfy a performance obligation.
a) Disaggregated revenue information
Since the company has only one Reportable Segment Dissagregated Revenue Information is not required to be provided.
b) Contract Assets and Liabilities Information
Significant changes in contract assets and contract liabilities during the period are as follows:",,,,
Contract Assets (including right of return assets),-,-,-,-
Contract Liabilities (including refund liabilities),180.60,195.23,25.60,33.03
Revenue recognised in the period from:,,,,
"Amounts included in contract liability at the beginning
of the period",63.14,22.20,32.38,31.10
Performance obligations satisfied in previous years,"5,523.98","19,260.73","13,795.77","10,463.50"
"Wereceivepaymentsfromcustomersbasedonabillingschedule,asestablishedinourcontracts.Contractassetrelatestoour
conditional right to consideration for our completed performance under the contract. Accounts receivable are recognised
when the right to consideration becomes unconditional. Contract liability relates to payments received in advance of
performance under the contract. Contract liabilities are recognised as revenue as (or when) we perform under the contract.
Reconciliation of the amount of revenue recognised in the statement of profit and loss with the contracted price",,,,
Revenue as per Contract,"5,587.12","18,053.45","12,828.83","9,676.24"
Adjustments,-,-,-,-
Extended warranties,-,-,-,-
Sales return,-,-,-,-
Discount,6.34,14.97,27.97,34.64
Revenue from contract with customers,"5,593.46","18,068.42","12,856.80","9,710.88"
