"KSH International Limited (formerly known as KSH International Private Limited)
Annexure V - Notes forming part of Restated Financial Statements
All amounts in INR millions
a.ThediscountrateisbasedonprevailingmarketyieldofIndianGovernmentSecuritiesasattheBalanceSheetdatefortheestimatedtermofthe
obligation.
b. Salary Escalation Rate: The estimates of future salary increases takes into account the inflation, seniority, promotion and other relevant factors.
Sensitivity Analysis
Reasonably possible changes at the reporting date to one of the relevant actuarial assumptions, holding other assumptions constant, would have
affected the defined benefit obligation by the amounts shown below.",,,,
Projected benefit obligation on current assumptions,"For the period
ended 30 June 2025","For the year ended
31 March 2025","For the year ended
31 March 2024","For the year ended
31 March 2023"
INCREASE,,,,
Discount rate (1 % movement),(2.10),(1.97),(1.14),(1.01)
Future salary growth (1 % movement),1.92,1.80,0.99,0.85
Attrition rate (1% movement),(0.12),(0.13),0.17,0.18
DECREASE,,,,
Discount rate (1 % movement),2.44,2.28,1.28,1.13
Future salary growth (1 % movement),(1.69),(1.60),(0.89),(0.76)
Attrition rate (1% movement),0.14,0.15,(0.19),(0.20)
"Weighted average assumptions used to determine net periodic benefit cost
Contractual Employees",,,,
Number of employees,162,179,163,174
Average monthly salary,2.50,2.76,2.35,2.40
Average age (years),29.65,29.86,28.83,28.56
Average past service (years),3.64,3.31,2.93,2.26
Non Contractual Employees,,,,
Number of employees,183,173,164,156
Average monthly salary,4.96,4.81,3.70,3.39
Average age (years),38.41,38.97,39.15,38.82
Average past service (years),7.88,8.54,8.95,10.10
"Compensated Absences -
Privilege Leave",,,,
Changes in present value of defined benefit obligation,"As at June 30, 2025","As at March 31,
2025","As at March 31,
2024","As at March 31,
2023"
"Present value of defined benefit obligation at the beginning
of the year/period",1 0.11,6 .60,5.83,3.18
Current service cost,0.37,1.69,1.09,0.59
Interest cost,0.17,0.47,0.43,0.22
Actuarial loss / (Gain),(0.54),1 .57,(0.47),2 .14
a) Financial (Gain)/Loss on plan liabilities,-,1 .34,0.09,(0.07)
b) Demographic (Gain)/Loss on plan liabilities,-,0 .53,(0.70),-
c) Experience (Gain)/Loss on plan liabilities,(0.54),(0.30),0 .15,2.21
Past service cost,-,-,-,-
Benefits paid,(0.03),(0.22),(0.28),(0.30)
"Presentvalueofdefinedbenefitobligationattheendofthe
year/period",1 0.08,1 0.11,6 .60,5.83
